# REGISTER 4, PARTIAL — mutation-proofs.partial-code.tsv   CODE WAVE, filled BY EXECUTION
#
# Companion to `mutation-proofs.tsv`, which is FROZEN at 61 rows (one per guard file) with
# `mutation`/`decoy`/`observed` deliberately empty. This file does not touch that one. It carries
# the proofs for the guard ROWS this wave added INSIDE three existing guard files — the freeze
# forbids adding a guard file, so criteria G1 and G2 were shipped as new rows in
# `test_render.py`, `test_graph_demo.py` and `test_scale_contract.py` rather than as new files.
# The unit here is therefore the ROW (a test function), not the file.
#
# EVERY CELL BELOW WAS RECORDED FROM EXECUTION, NOT PREDICTED. Each mutation was applied to the
# working tree, the single named test was run, the tree was restored from a byte copy, and
# `git diff` was checked empty for the mutated file afterwards. `observed` quotes the first
# assertion line pytest printed.
#
# WHY EVERY ROW CARRIES A DECOY. A mutation that turns a guard red proves only that the guard is
# sensitive to something. The decoy is an edit in the SAME neighbourhood that does not introduce
# the defect class — a refactor, a rewording, a legitimate retuning — and it must stay green. A
# row with a mutation and no decoy is a claim about a guard, not a measurement of one.
#
# DENOMINATOR
#   guard rows added by this wave ...................... 17 test functions in 3 guard files,
#                                                         grouped into 17 register rows below
#                                                         (the 15 analyser fixtures are one row:
#                                                         they are that row's mutation/decoy set)
#   rows mutation-proved ............................... 17  (100%)
#   file-level mutations applied, run and restored ..... 17  (16 defect mutations + 1 second
#                                                             mutation on the noise-dispatch row)
#   decoys applied, run and restored ................... 17  (16 + 1 extra near-miss decoy)
#   in-file fixture oracles (the analyser row) ......... 15  (6 must-flag + 9 must-not-flag)
#   in-process probes (the chapter-anchor row) .........  2
#   mutations that turned their row red ................ 17 of 17
#   decoys that left their row green ................... 17 of 17
#   IDENTITY: 17 rows == 17 proved -> HOLDS
#
# One near-miss is recorded rather than hidden: the FIRST mutation drafted for
# `scale-contract-live-cellsize` (`cellsize_unused = cellsize; cellsize = 1.0`) left the guard
# GREEN, and correctly — that edit still READS the parameter, so it is not the defect class. It
# was re-drafted to actually stop reading it. The failed draft is kept as an extra decoy because
# it is the closest thing to a false positive this guard could have had.
#
# FREEZE RULE: this file may grow only while this wave runs; anything found after it closes goes
# to OPEN-ITEMS.md like everything else.

guard_row	guard_file	target_defect_class	mutation	decoy	observed	date
test_no_public_function_declares_a_parameter_it_never_reads	reference-impl/tests/test_render.py	A public function declares a parameter that no line of its body reads — the `material_rgb(shade=...)` class, where the signature and the docstring promise behaviour that cannot happen.	render.py: `def hillshade(h, cellsize=1.0, azimuth=315.0, altitude=45.0, z_factor=1.0)` -> add a sixth parameter `shade=True` and leave the body untouched.	render.py: add `gamma=1.0` to the SAME signature AND use it — `return _grey(lambert ** gamma)`. A new parameter that is read is not the defect.	MUTATION -> FAIL, "AssertionError: public parameters that are declared and never read:" listing `render.hillshade(shade)  [positional]`.  DECOY -> PASS (the census counted 1321 parameters and reported 4 dead, all exempted).	2026-09-01
test_every_dead_parameter_exemption_is_still_a_live_dead_parameter	reference-impl/tests/test_render.py	The exemption allowlist rots into the answer: an entry outlives the dead parameter it describes and silently covers a later one of the same name.	analysis.py: make `deposit_fill`'s exempted `cellsize` LIVE — `ops_filters.closing(..., r=int(radius))` -> `r=int(radius / cellsize)`.	analysis.py: reword `deposit_fill`'s docstring ("`radius` is in cells" -> "`radius` counts cells"). A docstring edit is not a signature change.	MUTATION -> FAIL, "AssertionError: these exemptions no longer describe anything — the parameter was fixed or removed. Delete the entry: [('analysis', 'deposit_fill', 'cellsize')]".  DECOY -> PASS.	2026-09-01
test_the_census_catches_a_dead_parameter / test_the_census_does_not_fire_on_a_live_parameter	reference-impl/tests/test_render.py	The ANALYSER itself is vacuous or trigger-happy — the `guard-domains.tsv` failure mode, a scan that cannot see what it claims to read.	Shipped as 6 in-file fixtures the analyser MUST flag: plain dead argument; documented-but-never-implemented (the literal `shade` case); named in a comment only; assigned-never-read; dead keyword-only; dead `**kwargs`.	Shipped as 9 in-file fixtures it must NOT flag: read in a nested closure; in a comprehension; in an f-string; in a lambda default; `**kwargs` forwarded; read only in an except branch; a private function; a dunder; `self`/`cls`. Plus a `locals()` body, which must be REPORTED as unreadable rather than scored clean.	All 15 fixtures behave as specified (`pytest -q tests/test_render.py` -> 23 passed). The docstring-only fixture is the one that matters: it is the exact shape of the shipped `shade` defect and the analyser flags it.	2026-09-01
test_epsilon_fill_and_the_hybrid_breach_fill_policy_are_both_selectable	reference-impl/tests/test_graph_demo.py	A capability the chapters RECOMMEND cannot be selected from the shipped graph, or is selectable in name only because the node swallows the parameter that controls it — the `flow.hybrid_accumulation` / `_area_fn` class.	graph_demo.py: `_fill_fn` drops the port — `flow.breach_fill(ins[0], max_depth=p.get("max_depth", 10.0))` -> `flow.breach_fill(ins[0])`, so the node always uses the library default.	graph_demo.py: retune the node's shipped `max_depth` from 10.0 to 15.0 — still inside `03`'s stated 5-20 m band, so a legitimate tuning, not a lost port.	MUTATION -> FAIL, "AssertionError: breach_fill at max_depth=0 must be BITWISE the pure fill — nothing is shallow enough to breach — or the threshold is not the thing deciding".  DECOY -> PASS.	2026-09-01
test_an_unknown_noise_kind_is_rejected_before_it_can_mint_a_type_id	reference-impl/tests/test_graph_demo.py	A dispatcher falls through to a default on an unrecognised selector, so the graph returns a plausible field computed by the wrong generator — and, because `build_graph` mints `type_id` from the same unvalidated string, records that field under the identity of the one that was asked for.	graph_demo.py: restore the fallthrough — `_noise_fn`'s `else: raise ValueError(...)` -> `else: f = noise.fbm(xx, yy, seed, octaves=oc, base=noise.perlin)`.  SECOND MUTATION: widen `_NOISE_KINDS` to include `"worley"` without adding a dispatch branch, i.e. a kind that is legal but undispatched.	graph_demo.py: rename the local inside `_noise_fn` — `kind, oc, seed = ...` -> `kind, n_oct, seed = ...; oc = n_oct`. A pure refactor of the dispatcher body.	MUTATION -> FAIL, "Failed: DID NOT RAISE ValueError".  SECOND MUTATION -> FAIL, same message — the row also catches a kind declared legal but never dispatched, which is the same defect wearing a different hat.  DECOY -> PASS.	2026-09-01
test_ulichney_tiles_are_still_recommended_and_still_absent	reference-impl/tests/test_graph_demo.py	A recommended capability with nothing behind it quietly acquires an implementation (or quietly stops being recommended) and the census is never re-adjudicated — the staleness rule borrowed from `test_pseudocode_drift.KNOWN_DIVERGENCES`.	scatter.py: add a public `def ulichney_tile(n, seed=0): raise NotImplementedError` above `poisson_disk`.	scatter.py: add an unrelated public helper `def bridson_spacing(r): return float(r)` in the same place. A new public name is not by itself the promotion this row is watching for.	MUTATION -> FAIL, "AssertionError: Ulichney tiles now exist in scatter.py — delete this row and add a real reachability row to RECOMMENDED_CAPABILITIES: ...".  DECOY -> PASS.	2026-09-01
test_the_recommendation_is_still_in_the_chapter	reference-impl/tests/test_graph_demo.py	The enumeration outlives the chapter it enumerates: a recommendation is withdrawn, reworded or moved and nine frozen rows go on enforcing what nobody says any more.	Proved WITHOUT editing `references/` (another wave owns it): the anchor helper was driven directly against the neighbouring line — `_chapter_line("03-flow-routing.md", 102)`, i.e. the row's own sentence off by one line, which is what a chapter re-wrap produces.	The row's real anchor, `_chapter_line("03-flow-routing.md", 101)`, unchanged.	MUTATION -> the phrase "Hybrid is the right default" is NOT found at line 102 (which reads "artefacts), fill deep ones (they're real basins that should become lak..."), so the row would fail.  DECOY -> found at line 101. The anchor is line-exact, not document-wide, so it cannot be satisfied by the recommendation existing somewhere else in the chapter.	2026-09-01
test_every_atom_is_scale_explicit	reference-impl/tests/test_scale_contract.py	An atom satisfies the scale contract with a `cellsize` it declares and never reads, so a declaration is being credited as a fact — the interaction between criterion G1 and the `08` scale contract.	erosion_thermal.py: `thermal_erosion` stops reading its cellsize — `repose_slope * (dist if distance_correct else 1.0) * cellsize` -> `* 1.0`.	erosion_thermal.py: same line, `* cellsize` -> `* float(cellsize)`. Still read, so still scale-explicit.  SECOND DECOY (the re-drafted mutation, kept because it is the nearest miss): launder the parameter through an alias — `cs = cellsize; gradient(h, cs, method)` — which must stay green because the parameter IS read.	MUTATION -> FAIL, "AssertionError: atoms with no LIVE `cellsize` and no entry in PIXEL_OR_CALLER_SPACE — either thread cellsize through (and read it), or document why cells are the right unit: ['erosion_thermal.thermal_erosion  [declares `cellsize` but never reads it]']".  BOTH DECOYS -> PASS.	2026-09-01
test_a_dynamic_body_is_reported_rather_than_silently_passed	reference-impl/tests/test_render.py	The census scores a function clean that it cannot actually read — a body reaching for `locals()`/`eval()` can use a parameter it never names, and reporting zero there is the same lie as a vacuous scan.	tests/test_render.py: blind the analyser — `_DYNAMIC = ("locals", "vars", "eval", "exec", "globals")` -> `_DYNAMIC = ()`.	tests/test_render.py: reorder the same tuple ("vars", "locals", "globals", "exec", "eval"). Membership, not order, is what it means.	MUTATION -> FAIL, the `locals()` fixture's two parameters are reported DEAD instead of the function being listed as unreadable.  DECOY -> PASS.	2026-09-01
test_every_recommended_capability_is_reachable_or_pinned_as_a_known_gap	reference-impl/tests/test_graph_demo.py	The census bookkeeping drifts: a known-gap entry names a capability that is not in the enumeration, so the count of nine and the count of pinned gaps stop describing the same population.	tests/test_graph_demo.py: add a `KNOWN_UNREACHABLE` key `"a-capability-not-in-the-enumeration"` with a long-enough reason.	tests/test_graph_demo.py: move the `epsilon-fill` row from first to third in `RECOMMENDED_CAPABILITIES`. Row order is not part of the census.	MUTATION -> FAIL, "AssertionError: a known-gap row names a capability that is not in the enumeration: {'a-capability-not-in-the-enumeration'}".  DECOY -> PASS.	2026-09-01
