# CORRECTIONS APPLIED TO THE CORPUS, and who checked them. PLAN.md rule 1: every replacement is
# re-derived by an implementer (A), independently disproved-or-confirmed by a verifier (B), and
# recorded here. A row with no verifier is not a finished correction. `gate` is the numeric or
# textual test named in PLAN.md for that finding, and what it read after the change.
# Tab-separated. Rows are appended per sitting; the commit column is filled when the row lands.
finding	document	replacement	derivation	gate	implementer	verifier	commit
X37	references/tectonic-uplift.md	Flexure block made a state variable: carry w_prev (zeros on the first call); t_load = h + w_prev is the UN-deflected rock column; q = ρc·g·t_load; k = sqrt(kx²+ky²); W = FFT2(q)/(D·k⁴ + (ρm−ρinfill)·g); w_new = IFFT2(W); h −= (w_new − w_prev); w_prev = w_new. Prose states that the naive form (load from the already-deflected h, written back over h) converges to zero at 0.15 per call, and that PLAN v1's 'compute w_new from the deflected h and subtract only the increment' converges to h₀/(1+T) = 0.54·h₀ at long wavelength, not (1−T)·h₀ = 0.15·h₀. A failure row for the symptom added. The document still says flexure belongs inside the erosion loop, now with the reason it must be idempotent.	T(k) = ρc·g/(D·k⁴ + Δρ·g). Call 1: w = T·h₀, h = (1−T)·h₀. Call 2: t_load = h + w = h₀, same w, h unchanged — the fixed point is (1−T)·h₀ exactly. Naive: h_{n+1} = (1−T)·h_n → 0 (0.1515^10 = 6.4e-9). v1: Δ_{n+1} = −T·Δ_n, so h_∞ = h₀ − T·h₀/(1+T) = h₀/(1+T); at k=0 that is 1/1.848 = 0.541. Rig: 3000 m Gaussian bump (2-D; a 1-D profile gives 790 m, not the audit's 1163), σ = 60 km, Te = 20 km, ρc = 2800, ρm = 3300, ρinfill = 0, E = 70 GPa, ν = 0.25, 512 cells × 2 km, fftfreq in rad/m; the audit's 512 × 1 km rig gives the same peak to 0.1 m. Naive reproduces the audit to the metre: 1163 → 610 → 387 → 76 m on the 512 x 1 km rig (609.2 on the 2 km rig). VERIFIER additionally required w_prev = IFFT2(T/(1-T) FFT2(h)) for an authored surface already standing at h -- with w_prev = 0 the first call deflects it, which is the very mistake the document's own k = 0 paragraph names; measured a no-op to 3.6e-12 m over three calls. Applied. v1 measured: 1905.1 m after 200 calls against a predicted (1+T)⁻¹h₀ peak of 1905.1 m, max diff 5e-12 m. Scripts: scratchpad/flex.py (all three schemes), scratchpad/gate.py (block extracted from the document by regex and run literally).	PLAN gate max|h − (1−T)·h₀| < 1e-9 m after 10 calls: measured 1.364e-12 m. max|h − h_single_shot| after 10 calls: 2.274e-13 m. Single-shot peak 1163.3 m (audit 1163). Peaks after calls 1..10 all 1163.3 m.	agent-tectonic	agent-verify-tectonic (independent numpy transcription, block regex-extracted from the document; rigs 512x2 km and 512x1 km)	28e3040
X38	references/tectonic-uplift.md	Failure row: 'enlarge the domain or raise Te' → 'enlarge the domain or lower Te — α ∝ Te^(3/4), so raising it widens the response and shrinks domain/α (512 km is 10.3 α at Te = 20 km, 3.6 at 80)'. The α definition now says D ∝ Te³ gives α ∝ Te^(3/4) and carries the table Te 5/10/20/40/80 km → α 17.6/29.6/49.8/83.8/140.9 km (E = 70 GPa, ν = 0.25, ρm − ρinfill = 3300).	α = [4D/(Δρ·g)]^¼ with D = E·Te³/(12(1−ν²)); D ∝ Te³ so α ∝ Te^(3/4). Recomputed: D(20 km) = 4.978e22 N·m, α = 49.8 km; table matches the audit's to 0.1 km; 512 km / α = 29.1 / 17.3 / 10.3 / 6.1 / 3.6. Raising Te therefore lowers domain/α, the ratio the symptom is defined by.	α(40)/α(20) = 1.682 = 2^(3/4); all five table entries reproduced to the printed decimal. ⚠️ ANNOTATION 2026-09-07, agent-inversion-triage, PLAN criterion 3: THIS IS THE ROW FOR ONE OF THE NINE CONFIRMED INVERSIONS AND DID NOT SAY SO. The two ends are the failure row (`:164` in the audit, `:207` at HEAD) and the α definition in the body (`:166`, table at `:172`); the replacement column changes both but the row never records that both were read. BOTH ENDS RE-READ AT HEAD: `:207` prescribes 'lower `Te`' and `:166`/`:172` carry α ∝ Te^(3/4) with 17.6/29.6/49.8/83.8/140.9 km; no 'raise `Te`' remedy survives in the document. Numbers re-derived here independently of the row: α = [4D/(Δρg)]^¼, D = E·Te³/(12(1−ν²)), E = 70 GPa, ν = 0.25, Δρ = 3300, g = 9.81 -> D(20 km) = 4.9778e22 N·m, α table exact to the printed decimal, 512/α = 29.1/17.3/10.3/6.1/3.6, α(40)/α(20) = 1.681793 = 2^(3/4).	agent-tectonic	agent-verify-tectonic (independent numpy transcription, block regex-extracted from the document; rigs 512x2 km and 512x1 km)	28e3040
X41	references/tectonic-uplift.md	Block gains the line k = sqrt(kx² + ky²)  # RADIAL wavenumber. The ⚠️ paragraph is retitled '…and make it radial' and states k is the radial magnitude, k⁴ = (kx² + ky²)², and that kx⁴ + ky⁴ is a different, anisotropic operator giving a four-lobed flexural moat nearly twice as deep on the diagonals as on the axes. A failure row 'four-lobed star in the flexural moat' added.	On the 512 x 1 km bump rig (the audit's), moat depth (most negative surface) along an axis vs a diagonal: radial k⁴ gives −93.6 m vs −94.2 m (diag/axis 1.01, circular); kx⁴ + ky⁴ gives −52.2 m vs −96.8 m (diag/axis 1.86). The 512 x 2 km rig reads 1.886 vs 0.999. The audit reported 1.84 vs 0.95 with a different moat metric; the qualitative claim (four lobes, ≈2× on the diagonals) holds, and the document quotes 'nearly twice', which both measurements support. VERIFIER: the ratio is a property of THIS load width, not of the operator -- 1.02 at sigma = 10 km, 1.07 at 20, 1.14 at 30, 1.26 at 40, and a sigma >= 90 km Gaussian has no moat to measure at all. The document was rescoped to say so, and the failure row now reads 'isolated load'; a true point load is anisotropic only in the far field, not in its moat depth.	diag/axis moat ratio 1.86 for kx⁴ + ky⁴ against 1.01 for the radial operator.	agent-tectonic	agent-verify-tectonic (independent numpy transcription, block regex-extracted from the document; rigs 512x2 km and 512x1 km)	28e3040
X42	references/tectonic-uplift.md	The Airy line now names its h as a surface standing at elevation h, with root r = 5.6·h and load column t_load = h + r = 6.6·h. A 'Two symbols, kept apart' paragraph separates surface elevation h from the load column t_load; the flexure block takes t_load. The ⚠️ paragraph replaces 'which is the Airy limit falling out for free' with: T(0) = ρc/(ρm − ρinfill) = 0.85 of the column subsides, leaving the surface at 0.15·t_load; that reproduces Airy only when t_load is the whole column — with ρinfill = 0, 0.1515 × 6.6·h = 1.0000·h; fed the surface h alone the k=0 limit puts the surface at 0.15·h, the mechanism behind X37.	(1 − ρc/(ρm − ρinfill))·(1 + ρc/(ρm − ρc)) with ρinfill = 0 is ((ρm − ρc)/ρm)·(ρm/(ρm − ρc)) = 1 exactly; numerically 0.151515 × 6.6 = 1.0000. With the surface h alone as load the k=0 surface is 0.1515·h, which is the per-call long-wavelength gain of the old block.	k=0 limit of the block reconciles with the Airy line at 1.0000·h when the load is the full column 6.6·h; 0.1515·h when it is not.	agent-tectonic	agent-verify-tectonic (independent numpy transcription, block regex-extracted from the document; rigs 512x2 km and 512x1 km)	28e3040
X8	references/atmosphere-and-aerial-perspective.md	Failure row ':384' (now :426). Fix cell was 'Bake transmittance at load; gate multi-scattering on ~1 deg of sun elevation. Roughly 1.03 ms -> 0.38 ms' -- the exact prescription the body at :94 withdraws. Now 'Bake both at load -- multi-scattering takes sun zenith as a table AXIS, so never gate it on sun elevation. 1.03 ms -> 0.38 ms'. The Mechanism cell also rewritten: it read 'the two medium-only LUTs ... and neither changes when the sun moves', which re-asserts for the pair the reason the body at :87-92 corrects. Now 'All four rebuilt every frame, though a sun move dirties neither of the first two: transmittance is a pure function of the medium (0.53 ms on an iPhone 6s), and multi-scattering takes sun zenith as a table AXIS rather than an input (0.12 ms). Together 63% of the 1.03 ms' -- the sun-independence of the REBUILD is kept, the sun-independence of the TABLE is not claimed.	hillaire2020 Table 2 mobile column: 0.53 + 0.27 + 0.11 + 0.12 = 1.03 ms. Medium-only pair 0.53 + 0.12 = 0.65, /1.03 = 63.1% -> '63%'. Cadenced remainder sky-view 0.27 + AP 0.11 = 0.38 ms, so 1.03 -> 0.38 holds unchanged; the arithmetic was never the defect, the prescription was. 1.03/33 = 3.12% -> the row's '3% of the frame'. Axis claim re-read at both ends: body :87-89 quotes hillaire2020 5.5.2 u = 0.5 + 0.5*cos(theta_s); rebuild table :80 already carries 'sun zenith is an axis, not an input'.	Both ends read after editing. Body :94-100 withdraws the gate; table :426 Fix cell forbids it in the same words. No 'gate multi-scattering on ~1 deg' prescription survives anywhere. check.py exit 0. NOTE for check_repudiation triage: the Fix cell still contains the token sequence 'gate it on sun elevation' as a NEGATION -- a shingle guard will flag :426 as a candidate; it is a true negation, not a surviving retraction, and the spec's own replacement text uses this wording.	agent-atmosphere	agent-verify-atmosphere: re-derived every figure and checked both quotes against the EGSR 2020 text. CONFIRMED the LUT axes from source (u = 0.5 + 0.5cos(theta_s), sun zenith and altitude), Table 2 transcription exact, all mobile arithmetic, L = E_sun/pi, the 680/550/440 triple in Bruneton-Neyret 2.1 and in sky-and-weather-state.md:119. FOUND: the X8 inversion still live at the document's own bolded line; an omitted on-point source sentence (Fortnite ~1 ms whole pass on a 6s) that caps the upper bound; 13x attached to the apply range where it is 31x; the froxel LSB condition horizontal-axis only. All fixed in this commit.	8624598
G9	references/atmosphere-and-aerial-perspective.md	Jitter bullet :233-241 and failure row :418. Bullet was 'Build the volume with the same jittered projection as the G-buffer, or every ridgeline at range shimmers'. Now keeps the same jittered matrix as HYGIENE and moves the mechanism to the depth axis, with the magnitude stated. Failure row Mechanism was 'The froxel volume built with a different projection matrix than the G-buffer'; now the depth axis -- per-pixel depth dither plus slice quantisation on a face where one slice spans kilometres -- with 'Not screen-space jitter, which at 32^3 moves the lookup 1.25% of a froxel'. Fix cell now sizes the dither to local slice thickness and drives it with blue noise, and retains the jittered matrix explicitly labelled 'hygiene -- it is not the cause'.	32^3 froxels => 32 columns across screen X. 1280/32 = 40 px per froxel step; +/-0.5 px jitter / 40 px = 1.25%. 4K: 3840/32 = 120 px; 0.5/120 = 0.417% -> '0.42%'. Bilinear reconstruction moves the sampled value by 1.25% of the difference between two screen-adjacent froxels. 8-bit LSB = 1/255 = 0.392% of range; 0.00392/0.0125 = 0.314, so the shift stays under one LSB unless screen-adjacent froxels differ by more than ~a third of the range -- stated in the bullet as the condition rather than asserted unconditionally. Two orders of magnitude below 'every ridgeline shimmers', which is the audit's charge.	Both ends read after editing; body bullet and failure row now name the same mechanism (depth axis) and the same magnitude (1.25% of a froxel). The 'same jittered matrix' prescription survives at both ends, demoted to hygiene at both. check.py exit 0.	agent-atmosphere	agent-verify-atmosphere: re-derived every figure and checked both quotes against the EGSR 2020 text. CONFIRMED the LUT axes from source (u = 0.5 + 0.5cos(theta_s), sun zenith and altitude), Table 2 transcription exact, all mobile arithmetic, L = E_sun/pi, the 680/550/440 triple in Bruneton-Neyret 2.1 and in sky-and-weather-state.md:119. FOUND: the X8 inversion still live at the document's own bolded line; an omitted on-point source sentence (Fortnite ~1 ms whole pass on a 6s) that caps the upper bound; 13x attached to the apply range where it is 31x; the froxel LSB condition horizontal-axis only. All fixed in this commit.	8624598
G10	references/atmosphere-and-aerial-perspective.md	':89' (now :99-120). 'It fits; it fits with the cadence' -> 'The LUT budget fits, and it fits with the cadence', followed by two new paragraphs: (1) the on-screen apply is 0.14 of the 0.31 ms PC total, is the only pixel-scaling term on the page, and hillaire2020 Table 2 never measures it on mobile at any resolution -- with the bound 0.26-8.1 ms for the apply and 0.64-8.44 ms (2% to 26%) for the whole cadenced pass in a 33 ms frame, flagged 'Bounded here, not measured anywhere'; (2) the TBDR note -- a separate fullscreen pass sampling the depth attachment forces a tile store and reload, so fold the apply into the opaque shader or a subpass reading depth via framebuffer-fetch / subpassLoad. A matching failure row added at :427 so the correction lands at both ends.	Apply = 0.31 (PC total) - 0.17 (four PC LUTs 0.01+0.05+0.04+0.07) = 0.14 ms at 1280x720 = 921,600 px; this decomposition is already on the page at :49. Scale to the iPhone 6s's native 1334x750 = 1,000,500 px: x1.0856 -> 0.152 ms. Bound the mobile/PC hardware ratio by the two LUTs whose mobile build is IDENTICAL to the PC build (same resolution, same step count), so the ratio is hardware and not workload: multi-scattering 0.12/0.07 = 1.714x, transmittance 0.53/0.01 = 53x. (Sky-view 5.4x and AP 2.75x are excluded as bounds because mobile builds them smaller -- 96x50 at 8 steps vs 200x100 at 30, and 32^2x16 at 8 vs 32^3 at 30.) Apply = 0.152 x [1.714, 53] = [0.261, 8.055] ms. Add the 0.38 ms of LUTs the cadence still leaves per frame: [0.641, 8.435] -> 0.64 to 8.44 ms. /33 ms = 1.9% to 25.6% -> '2% to 26%'. Spread 8.435/0.641 = 13.17x -> the audit's '13x spread'. Upper bound flagged soft in the text because 53x rests on a 0.01 ms PC figure at the table's two-significant-figure rounding floor.	Reproduces the audit's G10 figures exactly (0.64, 8.44, 13x) from the page's own numbers; script rerun in-session. Both ends carry it: body :102-120 and failure row :427. check.py exit 0.	agent-atmosphere	agent-verify-atmosphere: re-derived every figure and checked both quotes against the EGSR 2020 text. CONFIRMED the LUT axes from source (u = 0.5 + 0.5cos(theta_s), sun zenith and altitude), Table 2 transcription exact, all mobile arithmetic, L = E_sun/pi, the 680/550/440 triple in Bruneton-Neyret 2.1 and in sky-and-weather-state.md:119. FOUND: the X8 inversion still live at the document's own bolded line; an omitted on-point source sentence (Fortnite ~1 ms whole pass on a 6s) that caps the upper bound; 13x attached to the apply range where it is 31x; the froxel LSB condition horizontal-axis only. All fixed in this commit.	8624598
F1	references/atmosphere-and-aerial-perspective.md	Export contract ':319-332' (now :341-374). The three outputs typed 'RGB' gain a 'What RGB is, so a second team can type-check against it' paragraph: Sky and the inscatter half of AerialPerspective are scene-referred linear radiance in W*m^-2*sr^-1, band-averaged over 680/550/440 nm, scaled so a white Lambertian surface under zenith top-of-atmosphere sun reads L = E_sun/pi; E_sun is the engine's and the corpus states it nowhere; the two transmittances are dimensionless per-band factors in [0,1] and the sun colour is E_sun * Transmittance, an irradiance in W*m^-2; all pre-exposure, Rec.709/D65 primaries unless the engine states otherwise -- say which; exposure and the display transform applied once, downstream, after the water composite and after aerial perspective, out of scope to physically-based-rendering section 7 'Scene integration & lighting', with coverage.md's display-transform row named as the reciprocal.	PLAN.md:231 requires unit, scale AND white point; the v1 clause typed linearity and order only, which is F1's actual failure. Unit: radiance W*m^-2*sr^-1 for the two radiance outputs; dimensionless [0,1] for the two transmittances, since a transmittance is a ratio -- typing all three outputs as one unit would have been wrong, the contract has four typed quantities across three signatures. Scale: a Lambertian surface of albedo 1 under normal-incidence irradiance E has L = E*rho/pi = E/pi, so zenith TOA sun gives L = E_sun/pi. No numeric E_sun invented: AUDIT-2026-09-05.md:1272 states 'The corpus also never states incident solar irradiance', and grep for E_sun / solar irradiance / 1361 / 1367 across gaia/ returns nothing outside this new paragraph -- so the clause says the engine supplies it. Wavelengths: 680/550/440 nm sourced to brunetonneyret2008 section 2.1 via sky-and-weather-state.md:119 (beta_s_R = (5.8, 13.5, 33.1)e-6 m^-1) -- attributed to the MEDIUM, not to hillaire2020's LUT set, which the page's own 'Use this' warning keeps distinct. Downstream owner verified: coverage.md:97 already carries the display-transform out-of-scope row naming physically-based-rendering's reference map section 7, and PLAN.md:94 marks that ownership 'verified'.	Contract now carries a unit a second team can type-check against; grep for W*m^-2, pre-exposure, Rec.709/D65 and display transform in this document returns hits where it returned none. coverage.md NOT edited (lead owns that row) and its existing :95 row is the reciprocal. check.py exit 0.	agent-atmosphere	agent-verify-atmosphere: re-derived every figure and checked both quotes against the EGSR 2020 text. CONFIRMED the LUT axes from source (u = 0.5 + 0.5cos(theta_s), sun zenith and altitude), Table 2 transcription exact, all mobile arithmetic, L = E_sun/pi, the 680/550/440 triple in Bruneton-Neyret 2.1 and in sky-and-weather-state.md:119. FOUND: the X8 inversion still live at the document's own bolded line; an omitted on-point source sentence (Fortnite ~1 ms whole pass on a 6s) that caps the upper bound; 13x attached to the apply range where it is 31x; the froxel LSB condition horizontal-axis only. All fixed in this commit.	8624598
Tier line	references/atmosphere-and-aerial-perspective.md	Added as the first body line after the title, matching the seven siblings that carry one: '**Tier: real-time rasteriser.** Every cost below is a per-frame cost at a stated resolution unless it is named as a bake; the only work this document moves off the frame is two LUTs baked at load.'	Convention checked against gpu-driven-culling.md:17, heightfield-lod.md:19, heightfield-raymarching.md:19, planetary-precision.md:16,, tiled-streaming.md:18, virtual-texturing.md:17, water-rendering.md:20 -- bold '**Tier: <regime>.**' opening a substantive first body paragraph. The inherited draft read 'Every number on this page is a per-frame cost at a stated resolution', which is false on its face for the 250 ms Bruneton bake at :124 and the RMSE figures at :109-110; reworded to except named bakes. Regime is correct: the two load-time bakes are the only off-frame work this document prescribes.	PLAN.md success criterion 6 (37/37 documents carry a **Tier: line). check.py exit 0.	agent-atmosphere	agent-verify-atmosphere: re-derived every figure and checked both quotes against the EGSR 2020 text. CONFIRMED the LUT axes from source (u = 0.5 + 0.5cos(theta_s), sun zenith and altitude), Table 2 transcription exact, all mobile arithmetic, L = E_sun/pi, the 680/550/440 triple in Bruneton-Neyret 2.1 and in sky-and-weather-state.md:119. FOUND: the X8 inversion still live at the document's own bolded line; an omitted on-point source sentence (Fortnite ~1 ms whole pass on a 6s) that caps the upper bound; 13x attached to the apply range where it is 31x; the froxel LSB condition horizontal-axis only. All fixed in this commit.	8624598
X7	references/gpu-driven-culling.md	Bullet 3 (footprint mip) rewritten so its consequence agrees with bullet 2. Before: "One level too fine under-samples silently and erodes the entire win while looking correct" — the too-fine cause with the too-coarse consequence. After: the rule now states WHY log2-rounded-up is the answer (one texel at least as wide as the rect, so the four corner taps cover it at any alignment), then splits the sign: too FINE leaves texels inside the rect unread, sampled max <= true max, `zNear > sampledMax` fires more often than truth, visible geometry is culled; too COARSE reads texels the rect does not cover, sampled max >= true max, merely conservative — looks correct, saves nothing. A worked 64 px example follows with mip 5/6/7 verdicts. Closing line: "Under-reading is the direction that costs you pixels ... over-reading only costs you the win."	Numeric HiZ, scratchpad/hiz_check.py: 512x512 mip-0, standard Z (near=0/far=1), max-DEPTH reduce, ridge at 0.3 everywhere, a 24 px sky gap at x=[100,124) at depth 1.0, objects at 0.6, HiZ read as four corner taps at the chosen mip. Rule = ceil(log2(larger dim)): a 64 px rect -> mip 6. Object A, rect x=[72,136), true max 1.0 (the gap is inside the rect) so truth is DRAW: mip 4 sampled 0.3 -> CULL (false occlusion), mip 5 sampled 0.3 -> CULL (false occlusion), mip 6 sampled 1.0 -> DRAW (correct), mip 7 sampled 1.0 -> DRAW. At mip 5 the rect straddles three 32 px texels (72//32=2, 135//32=4) and the corner taps read texels 2 and 4, so texel 3 = [96,128), which contains the whole gap, is never sampled. Object C, rect x=[0,64), true max 0.3 so truth is CULL: mips 4/5/6 all sampled 0.3 -> CULL (correct), mip 7 sampled 1.0 -> DRAW — the 128 px texel [0,128) reaches the gap 36 px OUTSIDE the rect and a real cull is lost. Both signs of the audit's X7 argument reproduced. NOTE: the inherited draft's example ("a 64 px rect read at mip 4 gathers two 16 px texels 32 px apart") was arithmetically true only for an ALIGNED rect and contradicted its own sentence — the document's own rule gives mip 6 for 64 px, so mip 4 is TWO levels too fine, not one. Replaced with mip 5 (one level, straddling) and the 36 px mip-7 case. The audit contains no mip4/mip6/mip7 table to reproduce; X7 at :655-665 states only the sign argument.	python3 gaia/scripts/check.py exits 0, no diagnostic naming this document. Sign check: mip >= rule => sampled >= true max (0/4000 violations, a theorem) and sampled is non-decreasing in mip (0/4000); the fine direction is NOT bounded the other way -- 3724/4000 counterexamples, because a finer mip's corner texels still spill outside the rect; mip > rule => sampled >= true max; mip == rule => verdict matches truth. Holds for A, B and C. ⚠️ ANNOTATION 2026-09-07, agent-inversion-triage, PLAN criterion 3: THIS IS THE ROW FOR ONE OF THE NINE CONFIRMED INVERSIONS AND DID NOT SAY SO — the replacement column names only the body bullet, and the failure table carried the SAME inversion. At `ca7761c` the row read 'Occlusion culling "works" but saves nothing | Footprint mip chosen one level too fine — silent under-sampling', which is the too-fine cause with the too-coarse consequence, exactly the audit's X7 charge against `:108`. The sitting (`92d4dd4`) split it in two and the row does not say so. BOTH ENDS RE-READ, at `f6486e6`: body bullet 3 at `:123-144`; failure rows `:217` (too **fine** -> under-read the max -> false occlusion) and `:218` (too **coarse** -> conservative, saves nothing). ⚠️ LOCATORS CORRECTED 2026-09-07 by agent-inversion-triage-repair: this cell first cited `:213`/`:214`, which is exactly where those two rows stood at `6a7ac52` -- the HEAD it was written against -- and `a6c10ad` then rewrote `:165-173` (+6/-2) BETWEEN the bullet and the table, moving the table down 4 while leaving the bullet at `:123-144`. So the ends were read; a bare line number in a live corpus went stale four lines. Both cited ends resolved at `6a7ac52` and both resolve again at `f6486e6`; grep the two sign words `too **fine**` / `too **coarse**` rather than trusting either number. The two ends now assert the same sign. Evidence: `git show ca7761c:gaia/references/gpu-driven-culling.md` against `92d4dd4` and HEAD.	agent-culling	agent-verify-culling: own 2048^2 pyramid, exhaustive alignment sweep. CONFIRMED the mip rule is correct AND tight (0 violations at the rule mip over widths 1-512 x every alignment; 31/32 alignments straddle three texels one level finer), both error signs on own geometry, the prefix-sum monotonicity (output slot monotone in input index, no camera term), the MSAA and conservative-raster halves against the D3D12 specs, and the descriptor-uniformity rule verbatim. REFUTED the gate's universal (mip < rule => sampled <= true max) with 3724/4000 counterexamples. Nine defects fixed in this commit; the audit's G7 VRS clause retracted.	pending
