# REGISTER 7 — figure-regen.tsv    Criterion H, the figure half.
#
# MEASURED at HEAD df27363 on a CLEAN tree (git status showed only the untracked tools/
# directory being added in that same commit). Produced by:
#     cd terrain-architect/reference-impl && python tools/regen_figures.py
# Each producer's __main__ is run with a scratch directory as CWD and the PNG it writes is
# compared PIXELWISE against the committed file.
#
# THE SUITE WAS GREEN AT 1370 PASSED AND CAUGHT NONE OF THIS. No test in the suite compares a
# committed PNG against its producer: test_archetypes.py and the anatomy tests assert on the
# in-memory image they have just built, which is true by construction. The builders were
# guarded; the committed figures never were.
#
# Determinism is asserted per row and is the precondition for treating a drift as staleness.
# A figure that does not reproduce ITSELF cannot be fixed by regenerating it, and must not be
# used as a CI gate at all. archetypes was proven deterministic on a clean tree: two independent
# rebuilds pixel-identical to each other, both differing from the committed file by the same
# 17821 pixels. The other five are pending a rerun -- the sweep for them was launched after
# concurrent agents had modified analysis.py and flow.py, so its verdict is not trustworthy and
# is NOT recorded here as fact.
#
# Cross-machine determinism is UNPROVEN. Everything here is one container. Whether a GitHub
# runner reproduces these pixels is what the first CI run will answer; if it does not, this
# register is the record of what was true here.
#
# ── CLOSED 2026-09-01. All fourteen reproduce exactly. ────────────────────────────────────
#     cd terrain-architect/reference-impl && python tools/regen_figures.py
#     enumeration: 14 committed figure(s), 14 produced, 0 exempt ... 14 figure(s) reproduce exactly.
#
# Six were stale because the field renders had been left behind by the module repairs on this
# branch. Rebuilding them was the easy half. The hard half was a defect in THIS TOOL:
# capability_grid.py:339 reads hero.png off disk behind a silent `except: return gray(_terr)`,
# so running producers in a bare scratch CWD did not make that panel fail -- it made it quietly
# draw something else, and the checker would have reported an unfixable 200x200 drift forever
# while CI stayed red for a reason no one could act on. Fixed by copying every committed figure
# EXCEPT the target into the scratch dir (the target is withheld: a producer reading its own
# output would reproduce it trivially) and by building in dependency order, since alphabetical
# order put capability_grid before hero and produced a figure embedding the previous hero.
#
# What this register does NOT certify: cross-machine reproduction. Every number here is one
# container. The first CI run of the `regenerate` job is what answers that, and if it disagrees
# this file is the record of what was true here.
# ─────────────────────────────────────────────────────────────────────────────────────────
#
# ── RE-VERIFIED after wave 6 (OPEN-ITEMS 20, 22, 24, 25, 27, 29). 14/14 reproduce. ────────
# One figure drifted during that wave and it is worth recording HOW it was attributed, because
# two lanes changed shipped behaviour at once. gallery.png drifted 7986 px; the graph lane ran
# regen_figures BEFORE and AFTER flipping the breach/fill default and the drift was BYTE-IDENTICAL
# across both, so its own change could not be the cause. It was the dunes lane raising
# werner_dunes' default hop from 1 to 5: gallery.py:166 is the one caller that names no hop, which
# is exactly what had made the old default load-bearing and what falsified OPEN-ITEMS 27's claim
# that "the shipped default of 1 is used by nothing".
#
# hero.png did NOT drift despite being the only committed figure built on the flipped graph. That
# is a weaker result than it looks and is recorded as such: hero renders at 266.7 m cells where a
# 10 m breach threshold reaches almost nothing, while the demo's own default resolution moves 13.2%
# of the drainage field. A figure that does not move is not evidence that a change is small.
figure	producer	verdict	pixels_differing	max_abs_delta	first_diff_xy	deterministic_here	likely_cause	action
anisotropy_anatomy.png	anisotropy_anatomy.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
crater_anatomy.png	crater_anatomy.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
crater_matrix.png	crater_demo.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
erosion_pipe.png	erosion_pipe.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
erosion_streampower.png	erosion_streampower.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
flow_anatomy.png	flow_anatomy.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
halfar_anatomy.png	halfar_anatomy.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
hex_anatomy.png	hex_anatomy.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	-	closed
archetypes.png	archetypes.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	last built at 33d45cc; render.py 93b6c33, flow.py e2667b0/1d44fb1/d03bf86, analysis.py 6cdb63f/b11238b, dunes.py, landforms.py all changed after	closed
capability_grid.png	capability_grid.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	first diff is deep inside the grid, not a header; graph_demo/flow e2667b0 changed the selectable capability set, which is exactly what this figure draws -- so the committed figure may still assert the PRE-FIX set	closed
gallery.png	gallery.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	field render over render.py/flow.py/analysis.py, all changed since	closed
hero.png	hero.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	field render; largest drift of the six	closed
landforms.png	landforms.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	landforms.py itself changed at 0f695b2 (hillslope diffusion coupled into stream power)	closed
screen_worlds.png	screen_worlds.py	reproduces	0	0	-	yes (rebuilt in a scratch CWD, pixel-exact)	field render over the changed render/flow/analysis stack	closed
