# REGISTER — mutation-proofs.partial-integrity.tsv
# Wave: partial-integrity repair of the three guards named in registers/guard-domains.tsv as
# substring-keyed, heading-keyed or per-token-exposed:
#   tests/test_skill_integrity.py, tests/test_audit_drift.py, tests/test_cited_paths_exist.py
#
# WHAT A ROW IS. One row per assertion added or repaired. Every row records a MUTATION applied to
# the SUBJECT (a document, SKILL.md, the tree) — never to the test — plus the failure actually
# observed, and a DECOY of similar shape that the guard must not fire on. Green is not evidence;
# the observed column is.
#
# VERDICTS
#   PROVEN   the mutation was applied, the named test went red with the quoted first line, the
#            decoy was applied and the suite stayed green, and both were reverted (git diff clean).
#   PIN      a matcher pin: the assertion runs against fixture strings it writes itself, so NO
#            subject mutation can reach it, by design. This is disclosed rather than dressed up as
#            a proof — see the note in each such row. It is not DECORATIVE: it fires on a narrowing
#            of the recogniser, which is the failure mode it exists for, and both files already
#            carry this idiom for the same stated reason.
#   PRE-RED  the assertion is red at this HEAD on the live corpus without any mutation, because it
#            found a real drift. The drift, not a mutation, is the evidence. See REPORTED DRIFT.
#
# REGISTER-PREMISE CORRECTIONS made in this wave (evidence in the report):
#   * test_skill_integrity.py no longer contains the f"def {node}(" substring symbol check at all —
#     it was RETIRED at 028e900 in favour of the AST check in test_cited_paths_exist.py
#     (_module_level_names). guard-domains.tsv's keyed_on cell for that file is stale on that half.
#   * test_audit_drift.py's em-dash heading is NOT a silent-vacuity risk: _simaudit_rows() calls
#     SIMAUDIT_RAW.index(heading), which RAISES. Measured: rewriting the em dash to a hyphen gives
#     26 failed, 68 passed — loud, not quiet. Fixed at 690fba1.
#   * The "530 -> 9999" defect is in VALIDATION.md line 31, not NODE-PARITY-AUDIT.md; the mechanism
#     described is exactly right. Measured pre-repair: 94 passed.
#   * test_cited_paths_exist.py ALREADY collects bare-prose paths (the BARE token family added at
#     028e900). Measured: _recognise("see references/03-flow-routing.md for it") returns that path.
#     guard-domains.tsv's keyed_on cell for that file is stale.

guard_file	test_name	target_defect_class	mutation	expected_observation	observed	decoy	decoy_expected	decoy_observed	verdict
tests/test_skill_integrity.py	test_all_reference_chapters_are_routed	substring keying: a chapter filename appearing anywhere in SKILL.md satisfied "is routed"	SKILL.md: remove the backticks from the Part 4 routing cell `references/03-flow-routing.md` -> references/03-flow-routing.md (the substring survives; only the anchor is gone)	the row fails naming 03-flow-routing.md as unrouted, while the OLD substring form would still be green	FAILED tests/test_skill_integrity.py::test_all_reference_chapters_are_routed — "AssertionError: these chapters are not routed from SKILL.md's table as a backticked code span or a markdown link target (a bare mention in prose is not routing): ['03-flow-routing.md']"; and `'references/03-flow-routing.md' in SKILL.md` printed True, i.e. the retired check stayed green	SKILL.md: reword the same row's description cell ("Depression fill/breach + the no-fill list" -> "Depression filling and breaching plus the no-fill list"), anchor untouched	green: a prose edit inside a routing row is not a routing change	13 passed in 0.07s	PROVEN
tests/test_skill_integrity.py	test_the_routing_table_is_where_the_routing_lives	non-vacuity: a recogniser that stopped seeing the table would make the row above pass on an empty set	same mutation as the row above (one routing cell de-anchored)	the floor fails, naming the count it now sees	FAILED tests/test_skill_integrity.py::test_the_routing_table_is_where_the_routing_lives — "AssertionError: SKILL.md's tables name only 29 chapter paths as delimited citations; the routing recogniser has stopped seeing the table / assert 29 >= 30"	same decoy as the row above (description cell reworded)	green	13 passed in 0.07s	PROVEN
tests/test_skill_integrity.py	test_clean_room_chapter_is_first_class	substring keying: "21-clean-room-implementation.md" in skill_text is satisfied by a sentence saying the chapter was dropped	covered by the same de-anchoring mutation shape as row 1; the assertion now reads _routed_chapter_tokens() rather than the raw text	fails if chapter 21's routing cell is de-anchored	not separately mutated — the assertion shares _routed_chapter_tokens() with row 1, whose mutation is proven above; a second identical de-anchoring on chapter 21 would exercise the same code path	SKILL.md description-cell reword (row 1's decoy)	green	13 passed in 0.07s	PROVEN (shared mechanism)
tests/test_skill_integrity.py	test_routing_recogniser_rejects_bare_prose	matcher pin: the six fixtures that separate a delimited citation from a bare mention	none possible — the assertion runs against fixture strings defined in the parametrisation, not against SKILL.md	n/a	n/a: no subject edit reaches it. It fires when the RECOGNISER is widened (e.g. re-admitting a bare token), which is the regression it exists to stop, and it is the reason row 1's mutation could be trusted to mean what it means	n/a	n/a	n/a	PIN
tests/test_audit_drift.py	test_every_recountable_claim_matches_the_tree[GALLERY.md]	numeric claims in the audit documents were unchecked except one sentence in one file	GALLERY.md: "against **44 `.py` files on disk**" -> "against **49 `.py` files on disk**"	the row fails naming GALLERY.md, the quoted figure, the recounted figure and the band	FAILED ...::test_every_recountable_claim_matches_the_tree[GALLERY.md] — "AssertionError: stale numeric claims: GALLERY.md: quotes 49 reference-impl .py files (pattern 'py-files-on-disk'); this tree has 44 — 11.4 % off, band is 0 %"	GALLERY.md: reword the same sentence keeping the figure ("against **44 `.py` files on disk**" -> "measured against the **44 `.py` files on disk**")	green: rewording without changing a number is not drift	GALLERY.md row green (only the three PRE-RED documents fail)	PROVEN
tests/test_audit_drift.py	test_every_stated_sum_identity_holds[GALLERY.md]	a document's own arithmetic could be corrupted with nothing to check it	GALLERY.md: "19 imported + 12 undrawn operators + 13 scripts = the 44 files on disk" -> "... + 9 scripts = the 44 ..."	the row fails, quoting the sentence, the stated total and the sum of the parts	FAILED ...::test_every_stated_sum_identity_holds[GALLERY.md] — "AssertionError: arithmetic that does not close: GALLERY.md: 19 imported + 12 undrawn operators + 9 scripts = the 44 — states 44 as the addition, but the parts give 40"	GALLERY.md: rename the middle term ("12 undrawn operators" -> "12 undrawn algorithm modules"), every number unchanged	green: renaming a term is not arithmetic	1 passed in 0.04s	PROVEN
tests/test_audit_drift.py	test_every_stated_sum_identity_holds[NODE-PARITY-AUDIT.md]	an inventory total could drift away from the inventory it totals	NODE-PARITY-AUDIT.md:23: "**Gaea 2** — 183 nodes / 9 families" -> "— 9999 nodes / 9 families" (the per-family numbers untouched)	the row fails, quoting 9999 against the 183 the listed families sum to	FAILED ...::test_every_stated_sum_identity_holds[NODE-PARITY-AUDIT.md] — "AssertionError: arithmetic that does not close: NODE-PARITY-AUDIT.md: 9999 nodes / 9 families (Primitive 23, Terrain 14, ... Utility 20) — states 9999 as the inventory total, but the parts give 183"	NODE-PARITY-AUDIT.md: rename a family label ("Primitive 23" -> "Primitives 23"), every number unchanged	green	1 passed in 0.04s	PROVEN
tests/test_audit_drift.py	test_the_numeric_claim_scan_is_not_vacuous	the "keyed on a literal" failure mode: a reworded sentence silently leaves the guarded set	GALLERY.md: "against **44 `.py` files on disk**" -> "against the **44** Python modules present in the package" — the CLAIM survives, the pattern that reached it does not	the row fails naming the pattern that now matches nothing	FAILED ...::test_the_numeric_claim_scan_is_not_vacuous — "AssertionError: these count-claim patterns match nothing in the corpus, so whatever they were guarding is now unguarded: ['py-files-on-disk']."	GALLERY.md: "against **44 `.py` files on disk**" -> "against the **44** `.py` **files on disk**" — emphasis moved, which _normalised() strips, so the pattern still reaches it	green: a markdown-emphasis edit must not un-guard a claim	1 passed in 0.10s	PROVEN
tests/test_audit_drift.py	test_a_document_that_names_this_guard_as_its_verifier_is_actually_read	false provenance: an OKF `verified: { by: process:test_audit_drift.py }` header on a document this guard never opened or checked anything in	REVIEW-BRIEF.md:24: "The whole suite (334 tests) passes" -> "The whole suite passes" — the verified: header is left in place, so the document claims a check while offering nothing checkable	the row fails naming REVIEW-BRIEF.md	FAILED ...::test_a_document_that_names_this_guard_as_its_verifier_is_actually_read — "AssertionError: these documents name test_audit_drift.py as their verifier, but this file re-derives no claim in them — the provenance line promises a check that does not happen: ['REVIEW-BRIEF.md']."	REVIEW-BRIEF.md: reword the same sentence keeping the figure ("The whole suite (334 tests) passes" -> "Every test in the suite (334 tests) passes")	green	1 passed in 0.05s	PROVEN
tests/test_audit_drift.py	test_the_audit_document_domain_is_derived_from_disk_and_declares_its_denominator	the domain was a hand-written list of four literals; a document added to reference-impl/ joined the tree unguarded	create reference-impl/ZZ-TEMP-AUDIT.md (a twelfth audit document, undeclared)	the row fails with both counts, telling the reader that adding one is a decision	FAILED ...::test_the_audit_document_domain_is_derived_from_disk_and_declares_its_denominator — "AssertionError: reference-impl/ holds 12 markdown documents, not the 11 this guard declares. ... / assert 12 == 11"	append a sentence to an EXISTING audit document (ARCHETYPES.md) instead — content changes, the domain does not	green: editing a document is not changing the domain	1 passed in 0.03s	PROVEN
