# REGISTER — mutation-proofs.wave7-hero.tsv	WAVE 7, HERO / LANDFORMS FIGURE-COMPOSITION LANE
#
# Companion to `mutation-proofs.tsv` (FROZEN) and to the wave-6 files. Thirteen row-level proofs for
# the guards added to `reference-impl/tests/test_hero.py` and `reference-impl/tests/test_landforms.py`
# in the wave that replaces `tools/regen_figures.py`'s pixel-identity gate with invariants.
#
# WHY THE LANE EXISTS. The pixel gate compares committed PNGs to rebuilds byte-for-byte, and CI
# disproved its premise: runs 20 and 21 of the same workflow, on identical numpy 2.4.6 / pillow
# 12.3.0 / CPython 3.11.16 / ubuntu-latest, disagreed — `landforms` by 145469 pixels, the largest
# drift of the five — because numpy 2.x dispatches SIMD kernels per-CPU, floating-point addition is
# not associative, and the iterative erosion and flow loops amplify a last-bit difference into a
# visibly different field. So whatever the pixels were implicitly covering has to become an explicit
# assertion, and the assertion has to be one that survives a change of kernel.
#
# WHAT THE TWO FIGURES HAD IN COMMON. Both had well-guarded PRIMITIVES and an unguarded COMPOSITION.
#   * `hero`: tests/test_hero.py ran the rasteriser at 40x40 and 220x150 on an `archetypes.alpine`
#     tile. The figure runs `from_graph(seed=4)` -> streampower -> substances -> snowmelt ->
#     `shallow_water.simulate(iters=1400)` -> `hydrology.water_surface` -> `hero(n=180)`. `main()`
#     even computed the mass-balance identity `rain_in == out + stored`, PRINTED it, and returned
#     nothing.
#   * `landforms`: tests/test_landforms.py had 18 tests on the primitives and none on the montage —
#     in particular none at any resolution on the bottom-left droplet+thermal panel.
#
# THE FIX FOLLOWS THE PATTERN ALREADY IN THE TREE, not a new one: `crater_anatomy.build() ->
# (canvas, facts)`, `flow_anatomy.measurements()`, `halfar_anatomy.measurements()`,
# `gallery._REPORT`/`_track()`. `hero.scene()` and `landforms._montage()` now RETURN what `main()`
# used to print, so a guard re-runs the composition instead of re-deriving it from pixels.
#
# WHAT IS DELIBERATELY LEFT UNGUARDED, declared rather than faked:
#   * `hero`'s relief and peak discharge, and `landforms`' absolute relief/roughness values. These
#     are the quantities that MOVED between the two CI runs (archetypes' pit storage 5.22e+06 ->
#     4.16e+06 m3; Monument Valley relief 259 -> 268 m). A band around them would be a golden value
#     wearing an invariant's clothes, so no row pins one.
#   * A SCALE SLIP in the montage's thermal call — `thermal_erosion(hd, 0.7, 14, cell, ...)` losing
#     its `cell` argument and falling back to cellsize=1.0 — conserves mass and preserves every
#     ordering asserted here, so it passes all thirteen rows. Bounding it would need a roughness
#     band, and no band derived from measurement separates it from a legitimate retuning of
#     `factor` or `iters`. MEASURED, not assumed: applying that slip and running the whole file
#     gives `25 passed in 18.23s`. Recorded as a KNOWN GAP, not papered over.
#
# TOLERANCES. Two rows state a numeric band; both are derived in a comment beside the assertion and
# neither was widened to make a run pass:
#   * hero budget closure, tol 1e-9: measured 4.2e-15 .. 2.9e-14 over seeds 1-5 at (n=72, iters=400)
#     and (n=72, iters=1400) plus the shipped (n=180, iters=1400). ~4.5 decades above the float64
#     floor, ~5 decades below the smallest defect the identity can express (the boundary term is
#     12-29% of rain_in). It is two orders TIGHTER than the 1e-6 tests/test_shallow_water.py:34
#     already uses for the same budget.
#   * montage volume closure, tol 1e-9: measured 0.0 .. 3.4e-16 at n = 48, 56, 64, 72, 96, 200 —
#     one or two ulps on a sum of n^2 heights. ~6.5 decades of headroom.
# Every other row is a conservation law, a sign, an ordering or an exact geometric identity, and
# needs no tolerance at all.
#
# PROTOCOL. Mutations are applied to the SUBJECT module (never the test), `__pycache__` is cleared
# before and after every trial (this repo has hit a false RED from CPython's mtime-seconds/size .pyc
# validation on a byte-length-identical mutation reverted inside one second), the failing test id
# and first failure line below are pasted from the real run, and every file is verified
# byte-identical by sha256 after revert. Verified subject modules touched and restored:
# hero.py, landforms.py, shallow_water.py, hydrology.py, erosion_droplet.py.
#
# COST. Both guard sets build their composition ONCE at reduced size and share it via
# functools.lru_cache: hero at n=72/iters=400 (~2 s, vs ~14 s for the physics at the shipped
# n=180/iters=1400) and landforms at n=64 with the cell size scaled so the 5.2 km extent is the
# figure's (~5 s, vs ~12 s for the droplet solver alone at n=200). Every invariant asserted is a
# conservation law, a sign or an ordering, none of which is a function of resolution, and each was
# re-measured at the shipped size to confirm it still holds there. Suite cost: test_hero.py 7 passed
# in 4.56s, test_landforms.py 25 passed in 17.99s.
#
guard_file	test_name	target_defect_class	mutation	expected_observation	observed	decoy	decoy_expected	decoy_observed	verdict
reference-impl/tests/test_hero.py	test_the_figures_shallow_water_budget_closes	A CONSERVATION LAW THE PRODUCER PRINTS AND NOBODY CHECKS. hero.main() computed the shallow-water budget rain_in == out + stored, printed it, and returned nothing, so the identity was stated on stdout and asserted nowhere. The figure's own flow path (graph terrain, priority-flood-filled bed, rain PLUS a per-cell snowmelt source_field, iters=1400) was reached by no test at all: tests/test_hero.py exercised only the rasteriser on an archetypes.alpine tile.	shallow_water.py simulate: delete the per-cell source credit `rain_in += float(src.sum()) * dt * area`, so the snowmelt is delivered into `d` but never entered in the budget — water appears from nowhere on exactly the branch the figure uses.	RED with a relative closure error of order 0.1 (the melt share of the input), naming rain_in and out+stored.	FAILED tests/test_hero.py::test_the_figures_shallow_water_budget_closes | E AssertionError: mass not conserved hero figure: rain+snowmelt delivered vs out+stored: 3.42115e+06 -> 3.84439e+06 (rel 1.24e-01) | 1 failed in 2.15s	hero.py scene(): `shallow_water.simulate(flow.priority_flood_fill(h), ...)` -> `shallow_water.simulate(h, ...)` — the flow runs on the raw graph bed instead of the pit-filled one. Different terrain, different rivers, same physics.	GREEN: a conservation law is a property of the solver's bookkeeping, not of the bed it runs on. A guard that moved with the terrain would be a golden value wearing a conservation law's clothes.	1 passed in 2.02s	PROVEN — AND NOT REDUNDANT. The same mutation run against the solver's own suite leaves tests/test_shallow_water.py::test_open_domain_mass_balance GREEN, because that row rains on a 40x40 ramp with NO source_field and so never touches the credit line. Only test_source_field_adds_water_and_flow goes red, and it fails on `rain_in increased`, not on the identity (`1 failed, 4 passed in 0.50s`). This row is the only budget-identity check on the source_field branch.
reference-impl/tests/test_hero.py	test_the_figures_meltwater_comes_from_under_the_snow	A COMPOSITION MISWIRED TO THE WRONG SUBSTANCE LAYER. `melt` is built by multiplying an elevation taper by the `snow` layer of analysis.derive_substances; the figure's caption then quotes a '% from snowmelt'. If the mask factor is dropped or read off another layer, the figure rains meltwater onto bare rock and every downstream number still looks plausible.	hero.py scene(): `melt = 5e-6 * snow * np.clip(...)` -> `melt = 5e-6 * np.clip(...)` (the snow-mask factor deleted).	RED on the mask clause, naming that meltwater is being sourced off the snow mask, with the offending cells shown at the full 5e-6 rate.	FAILED tests/test_hero.py::test_the_figures_meltwater_comes_from_under_the_snow | E AssertionError: meltwater is being sourced off the snow mask | E assert np.False_ | E  + where np.False_ = np.all(array([5.e-06, 5.e-06, 5.e-06, ..., 5.e-06, 5.e-06, 5.e-06], shape=(3974,)) == 0.0) | 1 failed in 2.12s	hero.py scene(): climate `"snow_soft": 0.16` -> `0.22` — a legitimate softening of the snowline transition, which moves the snow mask and therefore the melt field.	GREEN: the row pins WHERE the melt comes from (a mask identity), not how much of it there is or how sharp the snowline is.	1 passed in 2.03s	PROVEN
reference-impl/tests/test_hero.py	test_the_figures_meltwater_comes_from_under_the_snow	AN ELEVATION TAPER SILENTLY INVERTED. hero.py says the water 'runs from under the snow' — the taper `1 - (hn - snowline)/(1 - snowline)` is strongest at the snow's LOWER margin and dies at the summit. Inverted, the figure melts the summits instead, which is thermodynamically backwards and changes nothing a mask check, a budget check or a pixel count would see.	hero.py scene(): `np.clip(1.0 - (hn - snowline) / (1.0 - snowline), 0, 1)` -> `np.clip((hn - snowline) / (1.0 - snowline), 0, 1)` (taper inverted).	RED on the ordering clause only — the mask clause and the 0 < melt fraction < 100 clause stay satisfied — naming both weighted elevations.	FAILED tests/test_hero.py::test_the_figures_meltwater_comes_from_under_the_snow | E AssertionError: meltwater is not coming from under the snow: melt-weighted elevation 1705 m vs snow-weighted 1531 m | E assert 1705.4375597447727 < 1531.1471114621984 | 1 failed in 2.00s	hero.py scene(): `melt = 5e-6 * ...` -> `melt = 9e-6 * ...` — a retuning of the melt RATE, the taper and the mask untouched.	GREEN: the ordering is between two weighted means of the SAME field, so a common scale factor cancels exactly. This is why the row is an ordering and not a melt-fraction band.	1 passed in 2.14s	PROVEN
reference-impl/tests/test_hero.py	test_the_figures_water_surface_never_sits_below_the_bed	A SIGN SLIP THAT SILENTLY STOPS BEING WATER. `depth = w - h` goes straight to the rasteriser as `water_depth`, and hydrology.water_over_land clips it (`np.clip(depth, 0, None)`) before compositing. A negative depth therefore does not raise, does not render oddly and does not show in a pixel diff — the river just quietly disappears.	hero.py scene(): `depth = w - h` -> `depth = h - w`.	RED on the non-negativity clause, with the most negative depth in metres.	FAILED tests/test_hero.py::test_the_figures_water_surface_never_sits_below_the_bed | E AssertionError: hero water depth has invalid negatives (min -2.424e+02) | tests/asserts.py | 1 failed in 2.37s	hero.py scene(): `hydrology.water_surface(h, Q)` -> `hydrology.water_surface(h, Q, max_river_depth=4.0)` — the bankfull depth cap retuned from its 9 m default.	GREEN: the contract is `w >= bed`, which holds at any cap. A row that moved with the cap would be pinning a river depth, not a sign.	1 passed in 2.42s	PROVEN — and exclusive: the same mutation leaves tests/test_hydrology.py fully green (6 passed in 0.13s), because hydrology's own suite never sees the figure's subtraction.
reference-impl/tests/test_hero.py	test_the_figures_water_surface_never_sits_below_the_bed	THE RENDER SURFACE STOPS BEING AN UPPER ENVELOPE. `render_surf = np.maximum(surf, w)` is what lets water fill the valleys while snow still piles on the peaks; it is the mesh the rasteriser draws. Swapped for a minimum the figure draws a mesh that is below both inputs everywhere and still renders a perfectly plausible landscape.	hero.py scene(): `render_surf = np.maximum(surf, w)` -> `render_surf = np.minimum(surf, w)`.	RED on the envelope clause (`render_surface >= land_surface`).	FAILED tests/test_hero.py::test_the_figures_water_surface_never_sits_below_the_bed | E assert np.False_ | E  + where np.False_ = np.all(array([[0., 0., 0., ...]], shape=(72, 72)) >= array([[96.08631168, 0., 0., ..., 91.94295828], ...], shape=(72, 72))) | 1 failed in 2.42s	hero.py scene(): `hydrology.water_surface(h, Q)` -> `hydrology.water_surface(h, Q, smooth=2.0)` — the wet-surface relaxation radius doubled, so `w` genuinely changes everywhere.	GREEN: max(a, b) >= a is true for any b. The row is the envelope relation, not the water surface's value.	1 passed in 2.21s	PROVEN
reference-impl/tests/test_hero.py	test_the_figure_composites_translucent_water_where_the_flow_put_it	A WHOLE RENDER STAGE THAT NO TEST EVER SWITCHED ON. `hero(..., water_depth=...)` is the only route to hydrology.water_over_land, and it is the figure's entire claim that the rivers are a separate translucent pass rather than a blue line painted on the bed. No test in the tree ever passed the argument: tests/test_hero.py called hero() three times and never with water.	hero.py hero(): inside `if water_depth is not None:`, the body `lit = hydrology.water_over_land(lit, water_depth)` replaced by `pass` — the compositing stage deleted while the branch and the signature stay.	RED: the with-water and without-water renders of the same mesh become byte-identical.	FAILED tests/test_hero.py::test_the_figure_composites_translucent_water_where_the_flow_put_it | E AssertionError: the translucent water stage changed no pixel — `water_depth` is not reaching `hydrology.water_over_land` | E assert not True | E  + where True = np.array_equal(array(..., shape=(160, 240, 3), dtype=uint8), array(..., shape=(160, 240, 3), dtype=uint8)) | 1 failed in 3.29s	hydrology.py water_over_land: `k=0.45` -> `k=0.60` — the Beer-Lambert extinction coefficient retuned, so every wet pixel changes colour.	GREEN: the row asks whether the stage RAN, not what shade of blue it produced. A colour-valued assertion here would be a golden pixel by another name — the thing this wave exists to remove.	1 passed in 3.52s	PROVEN — and exclusive to this guard: `grep -rn '^import hero' tests/` returns exactly one line (tests/test_hero.py:13), so no other test module imports hero and nothing else in the suite can see the deletion. (test_atom_coverage.py and test_slope_units.py name hero.py as TEXT, parsed with ast or scanned as a path; neither executes it.)
reference-impl/tests/test_landforms.py	test_the_montage_erosion_panel_conserves_volume	A COMPOSED PANEL WITH NO GUARD AT ANY RESOLUTION. landforms.main()'s bottom-left tile is thermal_erosion(droplet_erode(mountain(...))). Both solvers document exact mass conservation; composed, on a field neither solver's own suite ever sees, nothing checked it. landforms is also the figure that drifted furthest in CI (145469 px), so tools/regen_figures.py gates it on tests/test_landforms.py instead of on pixels.	erosion_droplet.py droplet_erode: `if sediment > 0.0:` -> `if sediment > 1e18:` on the end-of-life deposit, so every droplet abandons its remaining payload instead of dropping it.	RED on the droplet leg with a relative loss of order 0.1-0.5 of the panel's volume.	FAILED tests/test_landforms.py::test_the_montage_erosion_panel_conserves_volume | E AssertionError: mass not conserved montage erosion panel: droplet pass: 2.26541e+10 -> 1.50399e+10 (rel 3.36e-01) | 1 failed in 5.76s	landforms.py _montage(): `droplet_erode(h, n_droplets=55 * n, seed=3, brush_radius=2)` -> `brush_radius=3` — a wider deposition brush, a real change to the erosion.	GREEN: a wider brush redistributes volume, it does not create or destroy it. Conservation is exactly the property that is blind to the tuning.	1 passed in 8.30s	PROVEN, WITH ITS REDUNDANCY DECLARED. tests/test_droplet.py::test_mass_conserved also goes red on this mutation (rel 2.63e-01, `1 failed, 3 passed in 17.53s`). What this row adds is not exclusivity but DOMAIN: the solver's row runs its own 64-cell input, this one runs the figure's mountain field through BOTH passes in sequence, which is the only place a leak that depends on the composition could show. See the incise/relax rows below for the mutations only these guards catch.
reference-impl/tests/test_landforms.py	test_the_montage_erosion_panel_incises_then_relaxes	AN EROSION STAGE WIRED TO A NO-OP. Mass conservation cannot tell the eroded panel from the uneroded Mountain beside it — a no-op conserves volume perfectly. The caption claims 'a REAL hydraulic+thermal pass'; the hydraulic half must leave the field ROUGHER than it found it, because droplets cut channels.	landforms.py _montage(): `droplet_erode(h, n_droplets=55 * n, ...)` -> `n_droplets=0` — the hydraulic pass becomes the identity.	RED on the incision clause with the before/after roughness identical to the last digit.	FAILED tests/test_landforms.py::test_the_montage_erosion_panel_incises_then_relaxes | E AssertionError: the droplet pass did not incise: roughness 131.94 -> 131.94 | E assert 131.93938801725304 > 131.93938801725304 | 1 failed in 2.68s	landforms.py _montage(): droplet `seed=3` -> `seed=8` — a different droplet realisation, same count, same brush.	GREEN: the ordering is a property of what the droplets DO, not of which cells they happened to start in.	1 passed in 6.07s	PROVEN — and exclusive: this mutation leaves test_the_montage_erosion_panel_conserves_volume green, so the two rows are independent rather than one guard reported twice.
reference-impl/tests/test_landforms.py	test_the_montage_erosion_panel_incises_then_relaxes	THE TALUS HALF OF THE PASS WIRED TO A NO-OP. thermal_erosion is what relaxes the over-steepened, droplet-incised field back past where it started; its own docstring warns that a DIVERGING thermal step 'stays mass conserved, so the explosion hides from a mass test'. Nothing checked that it did anything at all here.	landforms.py _montage(): `thermal_erosion(hd, 0.7, 14, cell, factor=0.12)` -> `factor=0.0`.	RED on the relaxation clause with the incised roughness passed through unchanged.	FAILED tests/test_landforms.py::test_the_montage_erosion_panel_incises_then_relaxes | E AssertionError: the thermal pass did not relax the incised field: 167.84 -> 167.84 | E assert 167.83765996397273 < 167.83765996397273 | 1 failed in 6.07s	landforms.py _montage(): `factor=0.12` -> `factor=0.15` — a retuning of the shed fraction inside the Musgrave step's stable range.	GREEN: more relaxation is still relaxation. The row pins the direction, which is why it needs no band.	1 passed in 6.15s	PROVEN
reference-impl/tests/test_landforms.py	test_the_montage_erosion_panel_incises_then_relaxes	THE HAZARD THE build()-RETURNS-FACTS CONTRACT ITSELF INTRODUCES: a producer that reports a fact off the WRONG FIELD, so the guard compares a quantity with itself and the ordering passes vacuously. The relief clause ('eroded relief is lower than uneroded') is the one most exposed, because both numbers are a np.ptp of a same-shaped field one line apart.	landforms.py _montage(): `"relief_in_m": float(np.ptp(h))` -> `float(np.ptp(he))` — the uneroded relief reported off the eroded panel.	RED on the relief clause with the two reliefs identical; the roughness clauses stay green, so the row is isolated.	FAILED tests/test_landforms.py::test_the_montage_erosion_panel_incises_then_relaxes | E AssertionError: eroded relief 1717 m is not below uneroded 1717 m | E assert 1716.8622308718495 < 1716.8622308718495 | 1 failed in 6.02s	landforms.py _montage(): `float(np.ptp(h))` -> `float(np.ptp(h)) * 1.0` and the same on relief_out_m — the facts recomputed through an extra float op, same fields, same values.	GREEN: the row is about WHICH FIELD each fact is read from, not about how the arithmetic is spelled.	1 passed in 5.70s	PROVEN
