# REGISTER 2 — constant-pairs.tsv   FROZEN at HEAD 0cdd5b1
# Pairs every constant stated in shipped prose (fenced pseudocode AND running text) against every
# numeric default in reference-impl/*.py, AND against every other statement of the same symbol.
#
# DENOMINATOR — prose side
#   fenced blocks scanned .................... 250
#   fenced lines scanned ..................... 1896
#   numeric tokens inside those fences ....... 1304   (== register 1's fenced_code exclusion; the two registers reconcile)
#     -> fenced constant assignments (rows) .. 151
#     -> excluded, every category counted:
#          fenced:formula_or_bare_literal       539
#          fenced:in_comment                    369
#          fenced:positional_call_arg           139
#          fenced:array_index_or_slice          101
#          fenced:keyword_or_control_lhs          5
#          SUM excluded                        1153
#     IDENTITY: 151 assignments + 1153 excluded = 1304 == fenced tokens -> HOLDS
#   prose (non-fenced) `symbol` => number statements ......... 60
#     candidates rejected, every category counted:
#          prose:no_connective_between_symbol_and_number    104
#          prose:number_is_a_citation_or_xref_token           7
#     IDENTITY: 60 kept + 111 rejected = 171 candidates
#     'number_is_a_citation_or_xref_token' reuses register 1's exclusion map verbatim, so the two
#     registers cannot disagree about what counts as a citation.
#     scanned over a 2-LINE WINDOW because this corpus hard-wraps: the dune `hop` docstring case
#     is split across two lines and a 1-line scan misses it. That is the exact defect class here.
#     Restricted to symbols that exist in module source (359 symbols), so a prose number next to an
#     unimplemented name is NOT a row — that residue is a known gap, logged in OPEN-ITEMS.md.
#
# DENOMINATOR — module side
#   distinct symbols carrying a numeric default/const .... 298
#   distinct symbols carrying a docstring-stated value ... 98
#   symbols never mentioned in prose (module_only rows) .. 514
#
# ROWS EMITTED: 884
# VERDICTS: module_only=514, chapter_vs_chapter=159, chapter_only=98, diverge=81, agree=32
#   agree              chapter value == module value
#   diverge            chapter value != module value  <-- the defect class
#   chapter_only       prose states a constant for a symbol no module defines
#   module_only        module ships a default no prose ever states
#   chapter_vs_chapter the SAME symbol is given two different values by two prose/docstring sites.
#                      Required because a chapter<->module-only table cannot see this class at all;
#                      dune `hop` is the worked instance (05:399 says 3, dunes.py:49 docstring says 5,
#                      dunes.py:20 ships 1 — a three-way split no pairwise chapter/module check finds).
#   CAVEAT, stated not hidden: 137 of the 159 chapter_vs_chapter rows involve a symbol of <=2 characters
#   (n, c, k, H ...). Single letters are reused across unrelated chapters, so many of those rows are
#   name collisions rather than real divergences. They are KEPT, not dropped: a freeze must not
#   silently discard candidates. Wave 1 downgrades them by assigning a verdict, not by deleting rows.
#
# FREEZE RULE: later waves may only change the verdict column. New pairs go to OPEN-ITEMS.md.

chapter	chapter_line	symbol	chapter_value	module	module_symbol	module_value	verdict
01-noise.md	105	F2	0.5	—	—	—	chapter_only
01-noise.md	114	j1	1	—	—	—	chapter_only
01-noise.md	115	j1	0	—	—	—	chapter_only
01-noise.md	120	n	0	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
01-noise.md	122	t	0.5	—	—	—	chapter_only
01-noise.md	265	size	2	—	—	—	chapter_only
01-noise.md	268	scale	1	placement.py	default:place_coords()@120	1	agree
01-noise.md	299	lacunarity	2.03	noise.py	default:fbm()@170	2.03	agree
01-noise.md	299	gain	0.5	noise.py	default:fbm()@170	0.5	agree
01-noise.md	300	amp	1	—	—	—	chapter_only
01-noise.md	300	freq	1	noise.py	module-const@195	1	agree
01-noise.md	300	norm	0	—	—	—	chapter_only
01-noise.md	339	lacunarity	2.03	noise.py	default:fbm()@170	2.03	agree
01-noise.md	339	gain	0.5	noise.py	default:fbm()@170	0.5	agree
01-noise.md	340	amp	0.5	—	—	—	chapter_only
01-noise.md	340	freq	1	noise.py	module-const@195	1	agree
01-noise.md	342	n	1	capability_grid.py,empirical_dem.py,flow_anatomy.py,glacier.py,hero.py,meander.py,sims_illustrative.py	default:_grid()@111;module-const@209;module-const@213 +19 more	200;128;180	diverge
01-noise.md	354	lacunarity	2.03	noise.py	default:fbm()@170	2.03	agree
01-noise.md	354	gain	2	noise.py	default:ridged_mf()@186	2	agree
01-noise.md	354	offset	1	noise.py	default:ridged_mf()@186	1	agree
01-noise.md	354	H	1	noise.py	default:ridged_mf()@186	1	agree
01-noise.md	358	weight	1	—	—	—	chapter_only
01-noise.md	359	freq	1	noise.py	module-const@195	1	agree
01-noise.md	383	lacunarity	2.03	noise.py	default:fbm()@170	2.03	agree
01-noise.md	383	H	0.25	noise.py	default:hybrid_mf()@205	0.25	agree
01-noise.md	383	offset	0.7	noise.py	default:hybrid_mf()@205	0.7	agree
01-noise.md	387	freq	1	noise.py	module-const@195	1	agree
02-macro-tectonics.md	46	P	8	—	—	—	chapter_only
02-macro-tectonics.md	57	oceanic	-4000	—	—	—	chapter_only
02-macro-tectonics.md	57	continental	200	—	—	—	chapter_only
02-macro-tectonics.md	198	r	5	ops_filters.py	default:median()@201;default:guided_filter()@228;default:dilate()@262 +5 more	1;2;1	diverge
02-macro-tectonics.md	235	ky	2	—	—	—	chapter_only
02-macro-tectonics.md	236	kx	2	—	—	—	chapter_only
