# REGISTER 3 — guard-domains.tsv   FROZEN at HEAD 0cdd5b1
# The column that matters is keyed_on: what the scan is keyed on, and therefore what spelling
# evades it. This is the register that would have caught 'the guard keyed on the substring slope
# missed 17 of 18 real spellings'.
#
# DENOMINATOR — guard files
#   test_*.py in reference-impl/tests/ ......... 61
#   classified mechanically (module docstring and comments stripped first, so prose about
#   'reading' does not count), every file in exactly one bucket:
#     numeric_or_behavioural_only   48
#     text_or_source_scanner         9
#     introspection_scanner          3
#     binary_reader                  1
#     SUM                           61
#   IDENTITY: 61 == 61 guard files -> HOLDS
#   Signals: text_or_source_scanner = .read_text( | open( | .glob( | .rglob( | .read() | readlines(
#            introspection_scanner  = inspect.signature | inspect.getsource | getattr( | __doc__
#            binary_reader          = open(..., 'rb')
#            numeric_or_behavioural = none of the above
#   All 61 files get a row. The 48 non-scanners carry population 0 and are marked '— none —' so
#   that no guard is outside the freeze; only the 13 scanners carry a coverage analysis.
#
# DENOMINATOR — per guard: population = files (or symbols) the guard's DECLARED domain resolves to
# at this HEAD; matched = how many of those the guard's key can actually reach. coverage_pct is
# matched/population. A guard at 100% file coverage can still be weakly keyed — see
# test_cited_paths_exist.py, where every file is reached but the exposure is per-token.
#
# WORST COVERAGE: test_scale_contract.py 19.1% (59/309), test_chapter_numbers.py 20.0% (6/30),
# test_render.py 25.0%, test_noise_pinch.py 40.0%, test_pseudocode_drift.py 40.0%,
# test_audit_drift.py 45.5%, test_atom_coverage.py 47.7% (was recorded 52.3%, see AMENDMENT),
# test_slope_units.py 73.5%.
#
# ── AMENDMENT, after the guard wave. Three cells in this register were WRONG. ─────────────
# A frozen enumeration freezes the LIST OF THINGS TO CHECK. It cannot freeze a measurement that
# was mis-measured, and refusing to correct one would make this file the thing it exists to
# prevent. What changed, and how each was caught:
#
#   1. test_atom_coverage.py: matched 23 / 52.3%  ->  matched 21 / 47.7%.
#      The two figures were TRANSPOSED: 23 is the size of the COMPLEMENT, the modules the guard
#      does not reach. Recomputed mechanically off ATOM-COVERAGE.md code spans against
#      reference-impl/*.py: 44 modules, 21 named, 23 not. Confirmed twice, independently, by the
#      agent that rewrote the guard and by the wave lead.
#
#   2. test_skill_integrity.py keyed_on: the `f"def {node}("` SUBSTRING symbol check does not
#      exist. It was retired at 028e900 and survives only as a comment at line 84 explaining why.
#      This register was written from that comment as though it described live code.
#
#   3. test_cited_paths_exist.py keyed_on: bare-prose paths ARE collected. The BARE token family
#      landed at 028e900 (line 101 of the guard at 23bceef). The cell described the recogniser as
#      it stood before that commit.
#
# The common cause is worth more than the three fixes: this file says FROZEN at HEAD 0cdd5b1, but
# two of its keyed_on cells describe guards that 028e900 had ALREADY repaired. The enumeration was
# frozen against a reading of the tree that was older than the tree. Briefs written from it sent
# two agents to fix holes that were already closed — both of them said so with evidence and
# refused to comply, which is the only reason this is an amendment and not a regression.
# ─────────────────────────────────────────────────────────────────────────────────────────
#
# FREEZE RULE: this row list is final — one row per guard file at this HEAD. Later waves may
# correct a population/matched figure or sharpen a note, but may not add or remove a guard row.
# A guard added after this HEAD goes to OPEN-ITEMS.md.

guard_file	scan_domain	population	matched	coverage_pct	keyed_on	notes
test_aeolian.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_alluvial_fan.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_analysis.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_analytic.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_anatomy_figures.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_anisotropy.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_archetypes.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_atom_coverage.py	reference-impl/ATOM-COVERAGE.md + reference-impl/*.py	44	21	47.7	a hand-written IMPLEMENTED dict of 91 atom names, matched against ATOM-COVERAGE.md identifiers via _IDENT / _CODE_SPAN / _FENCE	23 of 44 shipped modules are named. An atom that exists in code but is absent from IMPLEMENTED is neither required to be documented nor detected as undocumented — the register defines its own denominator.
test_audit_drift.py	reference-impl/*.md (NODE-PARITY-AUDIT, VALIDATION, SIMULATION-AUDIT, ATOM-COVERAGE, README) + reference-impl/tests/test_*.py + evals/evals.json + evals/README.md	11	5	45.5	literal section headings ('## Part 2 - Per-process simulation scorecard') plus prose regexes _NO_GAP / _CLAIMS_NOTHING / _NEGATION over flattened audit text	5 of 11 reference-impl documents are read; 6 (ARCHETYPES, CANON-COMPARISON, GALLERY, GROUNDING, HYPERREALISM, REVIEW-BRIEF) drift unchecked. Keyed on an exact heading string: renaming the heading makes the scorecard checks vacuous rather than failing. The test-count check globs all 61 test files, so THAT sub-domain is complete.
test_benchmarks.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_boundaries.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_braided.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_chapter_numbers.py	references/*.md (only chapters named literally in the file)	30	6	20.0	per-chapter literal regexes over chapter text (e.g. a '1.5%' / '7.1%' pair), one hand-written test per figure	6 of 30 chapters carry any numeric re-derivation at all. The 24 unnamed chapters hold most of register 1's rows; this is the single largest gap between claims made and claims re-derived.
test_cited_paths_exist.py	references/*.md + reference-impl/*.md + evals/*.md + SKILL.md + index.md	44	44	100.0	_BACKTICK = `([^`\n]+)` and _MD_TARGET = \]\(([^)\s]+)\)  — a path is only checked if it is inside backticks or a markdown link	Every citing file yields at least one token, so file coverage is 100%; the exposure is per-TOKEN, not per-file. A path written as bare prose ('see reference-impl/dunes.py') carries no backticks and is never resolved. Its own docstring records that cited SYMBOLS were checked with the substring "def %s(" , which a comment or docstring satisfies.
test_colour_scale.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_crater.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_crossvalidate.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_crossvalidate_landlab.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_diffusion.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_dimensional.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_droplet.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_dunes.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_empirical.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_empirical_dem.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_flow.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_flow_anatomy.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_gallery.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_gallery_doc.py	reference-impl/GALLERY.md	1	1	100.0	_NAME = `([A-Za-z_][A-Za-z0-9_]*)` over backticked spans in the panel table, plus literal heading containment	Single-file domain, fully covered. Keyed on backticks: a panel described without backticking its function name is not cross-checked against the module.
test_glacier.py	— none (numeric/behavioural guard: builds arrays, calls the module, asserts on values)	0	0	n/a	— not keyed on text or source —	No file is read and no source is introspected, so this guard has no scan domain and cannot carry a keying defect. Row present so the 61-file denominator is complete and no guard sits outside the freeze.
test_graph_demo.py	binary read of a rendered PNG (open(path,'rb'))	1	1	100.0	struct-unpacked PNG header bytes — not a substring/regex text scan	Included for completeness of the 61-file denominator. Reads a file but does no text keying, so it cannot carry the substring-evasion defect class.
