# REGISTER — mutation-proofs.wave7-capgrid.tsv	WAVE 7, CAPABILITY-GRID LANE
#
# Companion to `mutation-proofs.tsv` (FROZEN) and to the other partial/wave registers. Scope: the
# guards added for `reference-impl/capability_grid.py`, which until this wave had NO TEST OF ANY
# KIND — nothing in the tree imported it, and its only check was `tools/regen_figures.py`'s
# PIXEL-EXACT diff of the committed PNG. That gate is unsound across machines: two GitHub Actions
# runs with identical numpy 2.4.6 / Pillow 12.3.0 / CPython 3.11.16 on ubuntu-latest produced
# different numbers (canyon+strata pit-storage 5.22e+06 vs 4.16e+06 m3; Monument Valley relief 259
# vs 268 m) and five figures drifted, `capability_grid` among them. With the pixel gate removed,
# 56 capabilities were left with nothing asserting anything about them at all.
#
# TWO DEFECTS WERE FIXED IN THE SUBJECT, both of the silent-fallthrough class this repo has already
# retired twice (`graph_demo._noise_fn`'s `else: perlin`, `_area_fn`):
#   1. `build` wrapped every tile's thunk in a bare `except Exception` and painted a dark-red "ERR"
#      swatch in its place, so a capability that had STOPPED WORKING still rendered a figure that
#      looked successful. The figure's own header is the claim being falsified: "every tile
#      generated live in pure numpy". The swatch path now exists only behind an explicit
#      `on_error="swatch"` opt-in and still reports every failure in the returned facts.
#   2. `build` returned None, so nothing downstream could assert anything. It now returns
#      `(canvas, facts)` the way `crater_anatomy.build` does, with per-tile status/shape/spread.
# A THIRD, adjudicated here: `_hero` read `hero.png` behind `except Exception: return gray(_terr)`,
# substituting a grey hillshade of a mountain for the imported 3D render under the caption
# "z-buffer, back-face cull, translucent water". Made LOUD. `tools/regen_figures.py:88-97` already
# records that this fallback made the tile "quietly draw SOMETHING ELSE" in a bare scratch
# directory, surfacing only as an unfixable 200x200 pixel drift and forcing READS_FIGURES plus a
# build-order rule as a workaround; loud turns that into a named missing input. A FOURTH, same
# class: `_norm` passed non-finite input straight through, and `(nan * 255).astype(np.uint8)` is 0,
# so a NaN-producing capability left as a uniformly BLACK tile that reads as a dark render.
#
# METHOD. Every mutation is applied to the SUBJECT (`capability_grid.py`), never to the test. Each
# trial: clear every `__pycache__` under reference-impl, sleep > 1 s (this repo has hit a false RED
# from CPython's .pyc cache when a byte-length-identical mutation was reverted inside one second),
# run `python -m pytest tests/test_capability_grid.py -q --tb=line`, paste the real failing test id
# and first failure line, revert from a pristine copy, and confirm with `diff` against that copy.
# Every row also carries a DECOY: a legitimate edit of similar shape the guard must NOT fire on.
# The guard module costs ~75 s because it runs all 56 live simulations ONCE at module scope and
# shares them; that pass is the reason every trial below reports 9 tests.
#
# Baseline for these runs: 9 passed in ~75 s.
guard_file	test_name	target_defect_class	mutation	expected_observation	observed	decoy	decoy_expected	decoy_observed	verdict
reference-impl/tests/test_capability_grid.py	test_a_tile_that_cannot_build_is_a_failure_not_a_swatch	A failure-rendering mode that was meant to be a deliberate diagnostic becomes the DEFAULT, so a broken capability is painted as an ERR swatch and shipped as a rendered figure. This is the `_noise_fn` `else: perlin` shape moved into an error handler: the stand-in is recorded as a success.	capability_grid.py render_tiles: signature default `on_error="raise"` -> `on_error="swatch"` (the pre-fix behaviour, with the swatch branch still present and still opt-in-able).	RED naming the seam, not the montage: the injected failing capability no longer raises, and the tile-contract guard loses its refusal too.	FAILED tests/test_capability_grid.py::test_a_tile_that_cannot_build_is_a_failure_not_a_swatch | E Failed: DID NOT RAISE RuntimeError | tests/test_capability_grid.py:92 | also FAILED ::test_a_tile_must_return_a_real_rgb_image (same cause) | 2 failed, 7 passed in 75.06s	capability_grid.py render_tiles: reword the RuntimeError's prose ("...so a tile that cannot build must not be painted as an ERR swatch and shipped as a rendered figure. Pass on_error='swatch'..." -> a differently-worded three-sentence version), default and behaviour unchanged.	GREEN: the guard pins that the tile title and the underlying exception type reach the message, not the surrounding prose, so a message improvement is not the defect class.	9 passed in 77.12s	PROVEN
reference-impl/tests/test_capability_grid.py	test_a_tile_that_cannot_build_is_a_failure_not_a_swatch	The swallow itself returns: every tile's exception is caught and converted to a swatch UNCONDITIONALLY, which is verbatim the `except Exception -> ERR square` that build shipped before this wave. Distinct re-entry path from the default flip above — here both modes are lenient, so pinning the default alone would not see it.	capability_grid.py render_tiles: delete the whole `if on_error == "raise": raise RuntimeError(...) from e` block, leaving only the `out.append({... "status": f"{type(e).__name__}: {e}"})` swatch record.	RED at the same seam: with no raise left, an injected broken capability comes back as a status string instead of stopping the build.	FAILED tests/test_capability_grid.py::test_a_tile_that_cannot_build_is_a_failure_not_a_swatch | E Failed: DID NOT RAISE RuntimeError | tests/test_capability_grid.py:92 | also FAILED ::test_a_tile_must_return_a_real_rgb_image | 2 failed, 7 passed in 72.46s	capability_grid.py build: the diagnostic ERR square's fill `(60, 20, 20)` -> `(72, 24, 24)` — a legitimate palette tweak inside the opt-in diagnostic path.	GREEN: the row is about whether the swatch path is REACHABLE by default, not about how the swatch looks when it is asked for.	9 passed in 74.24s	PROVEN
reference-impl/tests/test_capability_grid.py	test_every_capability_tile_builds_live_with_no_err_swatch	A real capability stops working — an upstream dict key renamed, a signature changed — and the figure still renders. This is the whole reason the figure exists: its header claims all 56 tiles were generated live, and before this wave a dead capability produced a committed PNG that looked complete.	capability_grid.py `_sw` (the 04 Shallow water tile): `ramp(_cr(np.sqrt(r["depth"]), 8))` -> `r["water_depth"]`, i.e. the shallow_water result key renamed out from under the tile.	RED naming the tile index, its title, its oracle caption and the underlying KeyError — and every guard that needs the grid goes red with the same captured message rather than the module erroring out at collection with no test name.	FAILED tests/test_capability_grid.py::test_every_capability_tile_builds_live_with_no_err_swatch | E AssertionError: the capability grid did not build, so it can no longer claim that its 56 capabilities work and were generated live: RuntimeError: capability tile 20 '04 Shallow water' (rain_in = out + stored (~1e-15)) failed to build: KeyError: 'water_depth'. ... | tests/test_capability_grid.py:52 | 6 failed, 3 passed in 17.87s	capability_grid.py `_sw`: `shallow_water.simulate(h, 30.0, rain=6e-5, iters=80, ...)` -> `iters=90` — a legitimate retune of the same working capability.	GREEN: the row asserts the capability RUNS, and pins no simulation parameter, so a retune inside the tile is not the defect class.	9 passed in 77.04s	PROVEN
reference-impl/tests/test_capability_grid.py	test_every_tile_is_a_real_render_not_a_flat_square	A tile that renders FLAT is a broken capability that still looks like a picture. Nothing raises, the montage assembles, the PNG is committed — and in a 56-tile grid a uniform square reads as a legitimately dark render. It is also the exact shape a NaN field takes: `(nan * 255).astype(np.uint8)` is 0.	capability_grid.py `_norm`: `(a - a.min()) / (np.ptp(a) + 1e-12)` -> `+ 1e12` — a fat-fingered sign on the guard epsilon, which normalises every colour-mapped field to ~0.	RED per-tile, naming the first tile that went flat and its measured ptp, with the finite/non-finite sibling guard also red because gray() no longer spans its range.	FAILED tests/test_capability_grid.py::test_every_tile_is_a_real_render_not_a_flat_square | E AssertionError: 01 Worley F2-F1 renders essentially flat (ptp 0 over the whole tile). A flat tile is a broken capability that still looks like a picture ... | assert 0 >= 24 | tests/test_capability_grid.py:176 | 2 failed, 7 passed in 73.49s	capability_grid.py `_norm`: the same epsilon `1e-12` -> `1e-9` — a legitimate retune of the degenerate-range guard.	GREEN: the row pins that tiles VARY, not the value of the epsilon that keeps a constant field from dividing by zero.	9 passed in 76.10s	PROVEN
reference-impl/tests/test_capability_grid.py	test_a_non_finite_field_is_a_failure_not_a_black_tile	Non-finite values pass silently through the colour-mapping funnel and leave as a uniformly black tile. Same silent-substitution class as the hero fallback: the montage keeps looking built while the capability under the caption is producing NaN.	capability_grid.py `_norm`: delete the `if not np.isfinite(a).all(): ... raise FloatingPointError(...)` block, restoring the pre-fix pass-through.	RED on the finiteness guard alone — the 56 shipped tiles are all finite today, so nothing else moves.	FAILED tests/test_capability_grid.py::test_a_non_finite_field_is_a_failure_not_a_black_tile | E Failed: DID NOT RAISE FloatingPointError | tests/test_capability_grid.py:194 | 1 failed, 8 passed in 74.69s	capability_grid.py `_norm`: `if not np.isfinite(a).all():` -> `if not bool(np.all(np.isfinite(a))):` — an equivalent rewrite of the same predicate.	GREEN: the row pins the REFUSAL, not the spelling of the test that triggers it.	9 passed in 77.19s	PROVEN
reference-impl/tests/test_capability_grid.py	test_the_hero_tile_refuses_to_substitute_a_different_image	A missing INPUT is answered with a different picture instead of a failure. `_hero` is the one tile that imports a sibling figure rather than generating a field, and `except Exception: return gray(_terr)` pastes a grey mountain hillshade under the caption 'z-buffer, back-face cull, translucent water'. tools/regen_figures.py:88-97 records this exact fallback drawing SOMETHING ELSE in a bare scratch directory, visible only as an unfixable 200x200 pixel drift.	capability_grid.py `_hero`: replace the `try: with Image.open(HERO_PNG) ... except Exception as e: raise RuntimeError(...)` body with the retired `try: return np.asarray(Image.open(HERO_PNG).convert("RGB")) except Exception: return gray(_terr)`.	RED on the hero guard alone: with HERO_PNG pointed at an absent file the thunk returns a stand-in array instead of raising.	FAILED tests/test_capability_grid.py::test_the_hero_tile_refuses_to_substitute_a_different_image | E Failed: DID NOT RAISE RuntimeError | tests/test_capability_grid.py:213 | 1 failed, 8 passed in 77.69s	capability_grid.py `_hero`: `with Image.open(HERO_PNG) as im: return np.asarray(im.convert("RGB"))` -> `return np.asarray(Image.open(HERO_PNG).convert("RGB"))` — dropping the context manager, the raise kept.	GREEN: the row is about whether a missing input is REPORTED, not about how the file handle is closed.	9 passed in 77.54s	PROVEN
reference-impl/tests/test_capability_grid.py	test_grid_geometry_matches_the_modules_own_constants	The figure's published geometry (56 capabilities, 7x8, 1448x2082 px) silently changes, so every document and caption citing it becomes wrong while the build still succeeds. With the pixel gate gone, a re-layout was the one drift nothing could see.	capability_grid.py: `COLS = 7` -> `COLS = 8` (a plausible re-layout), which `layout()` then propagates into rows and canvas size.	RED on the geometry guard, reported against the module's own `layout()` rather than against a hard-coded pair.	FAILED tests/test_capability_grid.py::test_grid_geometry_matches_the_modules_own_constants | E assert (8, 7) == (7, 8) | At index 0 diff: 8 != 7 | tests/test_capability_grid.py:145 | 1 failed, 8 passed in 74.32s	capability_grid.py build: the caption wrapper `def wrap(s, width=34):` -> `width=32` — a legitimate typography retune that moves no cell.	GREEN: the row pins the GRID, not the text metrics inside a cell.	9 passed in 75.75s	PROVEN
reference-impl/tests/test_capability_grid.py	test_build_returns_the_canvas_and_its_per_tile_facts	`build()` returns nothing, so no guard anywhere can assert anything about the figure and the only remaining check is a pixel diff that has been shown unsound across machines. This is the pre-wave state of the subject, and the reason 56 capabilities had no test of any kind.	capability_grid.py build: final `return img, facts` -> `return img` (the facts dict still computed, just not handed back).	RED broadly and by design: the shared module-scope unpack fails, and every guard that needs the grid reports the captured cause instead of the module erroring at collection with no test name.	FAILED tests/test_capability_grid.py::test_build_returns_the_canvas_and_its_per_tile_facts | E AssertionError: the capability grid did not build ...: TypeError: cannot unpack non-iterable Image object | tests/test_capability_grid.py:52 | 7 failed, 2 passed in 72.00s	capability_grid.py build: add a new `"bg": bg` entry to the facts dict.	GREEN: the row pins the keys the guard reads and that the canvas comes back, not that the facts dict is closed to new facts.	9 passed in 75.12s	PROVEN
reference-impl/tests/test_capability_grid.py	test_build_returns_the_canvas_and_its_per_tile_facts	The returned facts stop describing the tiles that were actually drawn. A guard that trusts self-reported facts certifies the figure from a number the figure computed about nothing — the `test_scale_contract` failure mode of crediting a declaration as a fact. So the facts are cross-checked against the arrays the montage pasted.	capability_grid.py render_tiles: the per-tile fact `"ptp": int(rgb.max()) - int(rgb.min())` -> `"ptp": int(rgb.max())`.	RED on the facts-vs-array cross-check only. Deliberately NOT red on the flat-tile guard: `max` alone still clears its floor, which is what makes this a separate row rather than a duplicate of the flat-tile one.	FAILED tests/test_capability_grid.py::test_build_returns_the_canvas_and_its_per_tile_facts | E AssertionError: 10 Convex-poly SDF: facts report ptp 231, the drawn tile has 203 | assert 231 == (231 - 28) | tests/test_capability_grid.py:263 | 1 failed, 8 passed in 75.39s	capability_grid.py render_tiles: `"ptp": int(rgb.max()) - int(rgb.min())` -> `"ptp": int(np.ptp(rgb))` — an equivalent rewrite of the same quantity.	GREEN: the row pins that the fact MATCHES the drawn tile, not how it is spelled.	9 passed in 74.61s	PROVEN
reference-impl/tests/test_capability_grid.py	test_tiles_are_deterministic_within_one_process	A seeded capability loses its seed and becomes irreproducible. Nothing can then be checked about it — not a pixel diff, not a fact — and this is the class of drift that made the committed figures differ between two CI runs on identical library versions.	capability_grid.py `lic()`: `tex = np.random.default_rng(seed).random((n, m))` -> `np.random.default_rng().random((n, m))`, i.e. the LIC texture stops honouring its seed (used by the 01 Curl noise and 13 Mass-consistent wind tiles).	RED naming the first affected tile, comparing against the shared module-scope pass, which came from a SEPARATE CELLS() call.	FAILED tests/test_capability_grid.py::test_tiles_are_deterministic_within_one_process | E AssertionError: 01 Curl noise is not reproducible within one process: a seeded capability that differs run to run cannot be checked by anything, and is how the committed figure drifted | tests/test_capability_grid.py:241 | 1 failed, 8 passed in 75.42s	capability_grid.py `_curl`: `gray(lic(u, v, seed=1, steps=22))` -> `steps=20` — a legitimate retune that changes the tile's pixels but not its reproducibility.	GREEN: the row pins RUN-TO-RUN equality, not any particular pixels, so retuning a tile is not the defect class.	9 passed in 74.36s	PROVEN
