# REGISTER 1 — numeric-claims.tsv   FROZEN at HEAD 0cdd5b1
# Corpus: references/*.md (30) + reference-impl/*.md (11) + SKILL.md + index.md = 43 files, 20776 lines.
# Scan unit: one NUMERIC TOKEN = /(?<![\w.])[-+]?\d[\d_]*(\.\d+)?([eE][-+]?\d+)?/.
# One row per surviving token, NOT per claim: a range like '5-11 m' emits two rows sharing one claim_text.
# That is deliberate — merging ranges into one row is the step at which a claim can vanish unseen.
#
# DENOMINATOR
#   numeric tokens found in corpus ......... 13033
#   became rows ............................ 5152
#   excluded ............................... 7881
#   IDENTITY: 5152 rows + 7881 excluded = 13033 == tokens found  -> HOLDS
#
# EXCLUSIONS, every category counted (sums to 7881)
#   fenced_code            1304   inside a ``` fence — pseudocode constants, the domain of constant-pairs.tsv, not prose
#   chapter_xref           3066   backticked chapter pointer `NN` / `NN:LINE` / references/NN-*.md — a cross-reference, not a quantity
#   bibliographic          2803   citation locator: year after an author, vol(issue), vol:page, page range, pp., arXiv/patent/report id
#   okf_frontmatter         266   okf v0.2 metadata block (version, ISO timestamps, tags) between the leading --- pair
#   list_index              217   the ordinal of an ordered-list item, at the list-marker position only — other numbers on the line are still rows
#   heading_number           60   section number in a markdown heading (## 8. ...)
#   figure_panel_index       54   GALLERY.md panel grid coordinate cell (row,col)
#   url_doi_hash             45   digits inside a URL, DOI, domain path or a git commit hash
#   anchor_link              29   digits inside a markdown (#anchor-1984) target
#   math_display_block       19   literal inside a $$...$$ display-math expression
#   math_inline              18   literal inside a $...$ inline-math expression
#   SUM                    7881
#
# CLASS distribution: derived=3045, unclassified=1794, external=283, illustrative=30
# VERDICT distribution: unguarded=2649, guarded=1810, unreproducible=693
#
# CLASS rules, in cascade order (first match wins):
#   derived      value literal (distinctive) present in a reference-impl module or test; OR the line
#                names a backticked identifier that exists in module source; OR the token sits inside
#                an inline `code span` (a formula fragment the impl mirrors); OR the line is a
#                blockquote measured-output table row.
#   external     the line carries a citation marker (Author YEAR, et al., `99`, measured/empirical/USGS/SRTM).
#   illustrative the line carries a worked-example marker (e.g., for example, sims_illustrative, panel, demo).
#   unclassified no rule fired. THIS BUCKET IS REAL AND LARGE (1794). It is not 'clean'; it is 'undecided'.
#
# VERDICT rules (provisional — later waves may REASSIGN a verdict, never add or drop a row):
#   distinctive = token has a decimal point/exponent, or |int| > 10. Non-distinctive tokens (0..10)
#   match code literals by coincidence, so a literal match on them is NOT evidence.
#   guarded         distinctive AND the value appears as a literal in reference-impl/tests/test_*.py;
#                   source_or_guard names up to two test_file::function rows.
#   unguarded       distinctive AND in a module but no test; OR non-distinctive (marked
#                   'trivial-literal:no-evidence' — these are UNPROVEN, not proven-absent).
#   unreproducible  the value appears in no module and no test. For class=external with a citation
#                   this is expected and benign; for class=derived it is the alarming case.
#
# FREEZE RULE: this row list is final. A numeric claim discovered later that is not here goes to
# OPEN-ITEMS.md as a census-miss; it must NOT be appended to this file.

file	line	claim_text	value	class	source_or_guard	verdict
00-index.md	43	primary sources: the SIA velocity and `H^(n+2)` flux-diffusivity (`12`), Glen's `A` (Cuffey &	2	derived	trivial-literal:no-evidence	unguarded
00-index.md	44	Paterson 2010), Shields `θc ≈ 0.045` (`04`), Bagnold's `u*³` law and threshold (`05`), Werner	0.045	derived	module:capability_grid.py,tectonics.py	unguarded
00-index.md	45	repose-angle values (`05`), Freeman's MFD `p = 1.1` (`03`), Leopold & Maddock's *downstream*	1.1	derived	test_atom_coverage.py::<module>;test_flow_anatomy.py::test_the_conserved_total_is_blind_to_where_the_water_went	guarded
00-index.md	46	hydraulic-geometry exponents `w∝Q^0.5, d∝Q^0.4` (`03`), stream-power `m/n ≈ 0.5` (`04`), Hulme'	0.5	derived	test_aeolian.py::test_flux_is_cubic_in_shear_velocity;test_analytic.py::test_superelevation_and_trigger	guarded
00-index.md	46	hydraulic-geometry exponents `w∝Q^0.5, d∝Q^0.4` (`03`), stream-power `m/n ≈ 0.5` (`04`), Hulme's	0.4	derived	test_aeolian.py::test_abrasion_rate_follows_the_local_wind_speed;test_analysis.py::test_derive_substances_moisture_gates_snow	guarded
00-index.md	46	exponents `w∝Q^0.5, d∝Q^0.4` (`03`), stream-power `m/n ≈ 0.5` (`04`), Hulme's	0.5	derived	test_aeolian.py::test_flux_is_cubic_in_shear_velocity;test_analytic.py::test_superelevation_and_trigger	guarded
00-index.md	47	s and levée relations (`19`), the crater depth/diameter `≈0.2`, rim `≈0.04D`,	0.2	derived	test_aeolian.py::test_exner_conserves_sand;test_aeolian.py::test_threshold_matches_bagnolds_published_value	guarded
00-index.md	47	relations (`19`), the crater depth/diameter `≈0.2`, rim `≈0.04D`,	0.04	derived	test_atom_coverage.py::<module>;test_ops_filters.py::test_guided_filter_constant_and_edge	guarded
00-index.md	48	simple↔complex transition and its `~1/g` scaling (`11`), basalt eruption/solidus temperatures	1	derived	trivial-literal:no-evidence	unguarded
00-index.md	61	- **Engine-side claims (added 2026-08)** — the vector-water/carve material in `27` and the phas	08	derived	trivial-literal:no-evidence	unguarded
00-index.md	63	fetched 2026-08. Those are **D/N-tier and version-sensitive**: they es	2026	derived	module:empirical_dem.py	unguarded
00-index.md	63	fetched 2026-08. Those are **D/N-tier and version-sensitive**: they estab	08	unclassified	trivial-literal:no-evidence	unguarded
00-index.md	130	| McKenzie & Parker 1967 (*tectonics on a sphere*, Nature 216); Morgan 1968 — rigid rotation about an Euler pole (`25`)	216	derived	test_mask_partition.py::<module>;test_mask_partition.py::test_a_producer_bug_ships_entirely_in_gamut_through_the_shipped_palette	guarded
00-index.md	134	ibasins, crestal grabens) | P | Hudec & Jackson 2007, ESR 82; Jackson & Hudec 2017 (Cambridge) — driver (buoyancy vs d	82	derived	module:anisotropy_anatomy.py,capability_grid.py	unguarded
00-index.md	135	lt glacier (namakier) | P | Talbot & Rogers 1980 (Science 208); Talbot & Pohjola 2009, ESR 97 — flows only when wetted,	208	derived	module:archetypes.py,graph_demo.py	unguarded
