# PROOFS FOR THE ASSERTIONS LISTED BELOW. Not "every assertion in check.py" -- an earlier
# version of this header claimed that and was false: seven assertions had no row at all.
# Claiming coverage you do not have is the defect this whole skill is built against, so the
# scope of this file is now stated as what it is.
#
# Re-executed 2026-09-02 against the CURRENT tree, in an isolated copy under /tmp holding only
# flow-routing.md, papers-flow.md, index.md and coverage.md -- so that other authors' in-flight
# documents could not colour a result. Every mutation was applied to a SUBJECT (a document, the
# bibliography, the coverage map or the index), never to the guard, and reverted afterwards.
#
# WHY THE PREVIOUS VERSION OF THIS FILE WAS WRONG, recorded rather than quietly replaced:
#   - it claimed "every assertion"; seven had no row (no bibliography file, missing `type`,
#     bad `status`, `okf_version` outside the index, a `sources` entry with no `id`, a declared
#     source never cited in the body, and the duplication check)
#   - one row's mutation did not produce the output recorded beside it (+250 filler lines was
#     said to give 602 lines; the document is 102 lines, so it gave 352 and did not trip the cap)
#   - rows recorded before a rename still named `papers.md`, a file that no longer exists
#   - the locator row claimed "a citation a reader cannot check" and proved only that a KEY was
#     present -- `locator: ""` passed
#   - the front-matter row claimed the subset was enforced, proved for inline maps only, while
#     inline lists carried the identical unfixed bug
# All of these were found by an adversarial review, not by me.
#
# ── RE-EXECUTED 2026-09-06, PHASE 0 ──────────────────────────────────────────────────────────
# Every row below carrying a NUMBER was re-run against the current tree in an isolated copy
# under /tmp, and the numbers replaced with what the run printed. What moved, and why it is
# recorded rather than quietly corrected:
#   - row `per-document line cap` said "+400 filler lines (918 total)" against a 411-line
#     document. Both halves were wrong: the mutation writes `'\nfiller\n'*400`, which is 800
#     lines, not 400, and 411 + 800 is 1211, not 918. The register was enshrining a number
#     nobody had re-run -- the same defect its own header records for the previous version.
#   - the coverage-target row's line number moved 77 -> 88 as coverage.md grew.
#   - every REPORTED metric moved with the corpus: locators 24/133 -> 170/241, unread
#     22/232 -> 26/256, approximation 4/36 -> 7/37, propagation 15/245 -> 16/256, reach
#     18/193 -> 17/193, recommendation-first 19/20 -> 36/37.
#   - "69 of 196 entries wrap onto a continuation line" was stale twice over; the measured
#     figure is 88 of 214, which is what check_propagation's docstring already said. Two
#     places in the guard disagreed about the same count and neither was re-run.
#   - requote's ENUMERATION was re-run and moved: 119 -> 120 checkable quotations, 68 -> 71
#     carrying no resolvable citation id, plus exclusion counts the tool did not print at all
#     when the row was written (394 spans under the 40-character floor, 0 code/URL spans, 425
#     lines inside fences). Its LOCATION SPLIT -- 6 located, 1 not found, 112 UNFETCHED --
#     could NOT be re-run: that needs the 42-PDF artefact cache, which this session does not
#     have. It is left with the date it was taken and marked NOT RE-RUN rather than
#     re-asserted. A number nobody re-measured is exactly what this block is fixing.
# Two rows were also DOWNGRADED to the literal mutation each covers -- see them below.
#
# ── ADDED 2026-09-08: two guards for two criteria that shipped content and no instrument ─────
# The last seven rows of this file. `check_budget_agreement` closes criterion 6's "checked"
# (38 Tier lines, 0 compared to anything) and `check_paths` closes audit G#9 (a dangling `.md`
# cross-reference, on which check.py exited 0). Both are ENFORCED, not reported, and each has
# TWO CI rows -- red naming its own rule, then green with only that rule stubbed. Both were
# also run against a GUTTED version of their own function to prove no other check reports the
# mutation, which the stub pass implies and this makes explicit. The whole `bites` job was
# extracted from .github/workflows/gaia.yml with a YAML-aware splice and run under `bash -e`:
# 36 rows red-and-green, 5 decoys green, 0 attribution errors, exit 0, in 66 s. It was 33+4
# before this sitting. Two rows below are OPEN rather than PROVEN and say what they do not
# cover; one of those is G#9's own named instance, which is out of the new guard's declared
# reach and is filed for the owners of the four documents that carry it.
assertion	mutation	expected	observed	verdict
bibliography exists	delete papers-flow.md	red	references/papers*.md: no bibliography file exists	PROVEN
OKF `type` present	delete the `type:` line	red	references/flow-routing.md: no `type` -- the one always-required OKF key	PROVEN
`status` is a legal value	status: draft -> status: probably	red	references/flow-routing.md: status `probably` is not one of ['deprecated', 'draft', 'stable']	PROVEN
`okf_version` only in the bundle root	add okf_version to a document	red	references/flow-routing.md: `okf_version` belongs in the bundle root only	PROVEN
a source entry has an id	remove `id:` from one sources row	red	references/flow-routing.md: a `sources:` entry has no `id`	PROVEN
declared source is cited in the body	replace [planchon2002] in prose with plain text	red	references/flow-routing.md: `sources:` declares `planchon2002`, never cited in the body	PROVEN
a document cites SOMETHING	delete the whole `sources:` block	red	references/flow-routing.md: no `sources:`. A document that cites nothing cannot be checked at all	PROVEN -- this was the guard's largest hole: with no sources, NOTHING was checked and a document of pure invention passed
a body marker resolves	[barnes2014] -> [vonneumann1946]	red	references/flow-routing.md: body cites [vonneumann1946], which exists in NO bibliography. A citation to nothing is a fabrication, not a typo.	PROVEN -- previously guarded by `if mid in bib`, so a fabricated citation was silently DROPPED
declared tier matches the bibliography	freeman1991 tier: P -> tier: N	red	references/flow-routing.md: declares `freeman1991` as tier `N`, but papers grades it `P`	PROVEN -- the `tier:` field was decorative before this; it was never compared
locator is usable, not merely present	locator: "eq. 2, exponent p = 1.1" -> locator: ""	red	references/flow-routing.md: `freeman1991` has no usable `locator`	PROVEN
per-document line cap	append `'\nfiller\n'*400` to caustics.md -- 800 lines, not 400 (this row named flow-routing.md and 1211 lines; CI mutates $SUBJ = references/caustics.md)	red	references/caustics.md: 961 lines, over the 450 cap -- it is two topics	PROVEN, re-run 2026-09-06. The previous version of this row said "400 filler lines (918 total)" against a 411-line document; the mutation writes 800 lines and 411+800 is 1211. Both halves were wrong and neither had been re-run. The cap is 450 for a document and 600 for a bibliography (BIB_MAX_LINES): a bibliography is a LIST, not a topic, so "it is two topics" does not apply to it -- it was exempt altogether by two conditions that could never fire, and papers-rendering.md reached 411 lines with no ceiling at all
index.md is generated, not written	append a fake row to index.md by hand	red	index.md is out of date. Run `python3 gaia/scripts/index.py`.	PROVEN -- and note this only fires because check.py now RUNS index.py --check; it was defined but never called, so the documented command went green on a stale index
coverage: every document is claimed	delete the flow-routing row from coverage.md	red	references/flow-routing.md exists but no coverage.md topic claims it -- the map is stale, or the document was never planned	PROVEN
coverage: a covered topic's file exists	add a `covered` row pointing at ghost.md	red	coverage.md:88: `ghost` points at ghost.md, which does not exist	PROVEN, re-run 2026-09-06 (the line moved 77 -> 88 as coverage.md grew). ADDING a row is the right mutation and RE-POINTING an existing one is not: re-pointing also unclaims a real document and breaks its `routes_to`, so three functions report it and the row stays red with check_coverage deleted -- which is how it was vacuous in CI
front matter: no nested inline map	a: { b: { c: d } }	Unparseable	nested map or list inside an inline map is outside the subset	PROVEN
front matter: no nested inline LIST	tags: [a, [b, c]]	Unparseable	nested list or map inside an inline list is outside the subset	PROVEN -- this bug survived the first fix, which patched maps and left the identical hole in lists; it yielded ['a', '[b', 'c]']
front matter: lists must be closed	tags: [a, b	Unparseable	`[a, b` is not a closed inline list	PROVEN -- previously ACCEPTED, silently dropping the last element
front matter: no duplicate keys	two `sources:` blocks	Unparseable	duplicate key `sources`; the first would be discarded	PROVEN -- previously the second silently won, REMOVING half a document's attribution
